office,candidate,party,reporting_level,jurisdiction,votes
President,Hagelin / Goldhaber,Nominated by Petition,county,Winnebago,5
President,Scattering,,county,Winnebago,6
President,Totals,,county,Winnebago,5527
President,Gore / Lieberman,Democratic,county,Winneshiek,4339
President,Bush / Cheney,Republican,county,Winneshiek,4647
President,Browne / Olivier,Libertarian Party of Iowa,county,Winneshiek,12
President,Nader / Laduke,Iowa Green Party,county,Winneshiek,343
President,Buchanan / Foster,Reform Party,county,Winneshiek,42
President,Harris / Trowe,Socialist Workers,county,Winneshiek,1
President,Phillips / Frazier,Constitution,county,Winneshiek,3
President,McReynolds / Hollis,Socialist Party USA,county,Winneshiek,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Winneshiek,18
President,Scattering,,county,Winneshiek,11
President,Totals,,county,Winneshiek,9417
President,Gore / Lieberman,Democratic,county,Woodbury,17691
President,Bush / Cheney,Republican,county,Woodbury,18864
President,Browne / Olivier,Libertarian Party of Iowa,county,Woodbury,76
President,Nader / Laduke,Iowa Green Party,county,Woodbury,804
President,Buchanan / Foster,Reform Party,county,Woodbury,406
President,Harris / Trowe,Socialist Workers,county,Woodbury,4
President,Phillips / Frazier,Constitution,county,Woodbury,19
President,McReynolds / Hollis,Socialist Party USA,county,Woodbury,2
President,Hagelin / Goldhaber,Nominated by Petition,county,Woodbury,7
President,Scattering,,county,Woodbury,23
President,Totals,,county,Woodbury,37896
President,Gore / Lieberman,Democratic,county,Worth,2208
President,Bush / Cheney,Republican,county,Worth,1659
President,Browne / Olivier,Libertarian Party of Iowa,county,Worth,9
President,Nader / Laduke,Iowa Green Party,county,Worth,91
President,Buchanan / Foster,Reform Party,county,Worth,18
President,Harris / Trowe,Socialist Workers,county,Worth,0
President,Phillips / Frazier,Constitution,county,Worth,0
President,McReynolds / Hollis,Socialist Party USA,county,Worth,0
President,Hagelin / Goldhaber,Nominated by Petition,county,Worth,10
President,Scattering,,county,Worth,9
President,Totals,,county,Worth,4004
President,Gore / Lieberman,Democratic,county,Wright,2796
President,Bush / Cheney,Republican,county,Wright,3384
President,Browne / Olivier,Libertarian Party of Iowa,county,Wright,9
President,Nader / Laduke,Iowa Green Party,county,Wright,107
President,Buchanan / Foster,Reform Party,county,Wright,21
President,Harris / Trowe,Socialist Workers,county,Wright,3
President,Phillips / Frazier,Constitution,county,Wright,3
President,McReynolds / Hollis,Socialist Party USA,county,Wright,1
President,Hagelin / Goldhaber,Nominated by Petition,county,Wright,9
President,Scattering,,county,Wright,3
President,Totals,,county,Wright,6336
President,Gore / Lieberman,Democratic,county,Totals,638517
President,Bush / Cheney,Republican,county,Totals,634373
President,Browne / Olivier,Libertarian Party of Iowa,county,Totals,3209
President,Nader / Laduke,Iowa Green Party,county,Totals,29374
President,Buchanan / Foster,Reform Party,county,Totals,5731
President,Harris / Trowe,Socialist Workers,county,Totals,190
President,Phillips / Frazier,Constitution,county,Totals,613
President,McReynolds / Hollis,Socialist Party USA,county,Totals,107
President,Hagelin / Goldhaber,Nominated by Petition,county,Totals,2281
President,Scattering,,county,Totals,1168
President,Totals,,county,Totals,1315563
