county,office,candidate,party,absentee,early_votes,election_day,votes,district,,
Pottawattamie,Secretary of State,Deidre DeJear,Dem,"6,138",,"7,337",13475,,,
Poweshiek,Secretary of State,Deidre DeJear,Dem,"2,089",,"1,648",3737,,,
Ringgold,Secretary of State,Deidre DeJear,Dem,293,,384,677,,,
Sac,Secretary of State,Deidre DeJear,Dem,328,,841,1169,,,
Scott,Secretary of State,Deidre DeJear,Dem,"17,759",,"16,755",34514,,,
Shelby,Secretary of State,Deidre DeJear,Dem,609,,682,1291,,,
Sioux,Secretary of State,Deidre DeJear,Dem,637,,"1,271",1908,,,
Story,Secretary of State,Deidre DeJear,Dem,"10,305",,"12,985",23290,,,
Tama,Secretary of State,Deidre DeJear,Dem,895,,"2,067",2962,,,
Taylor,Secretary of State,Deidre DeJear,Dem,223,,413,636,,,
Union,Secretary of State,Deidre DeJear,Dem,816,,765,1581,,,
Van Buren,Secretary of State,Deidre DeJear,Dem,261,,488,749,,,
Wapello,Secretary of State,Deidre DeJear,Dem,"2,509",,"2,535",5044,,,
Warren,Secretary of State,Deidre DeJear,Dem,"4,834",,"4,975",9809,,,
Washington,Secretary of State,Deidre DeJear,Dem,"1,523",,"1,681",3204,,,
Wayne,Secretary of State,Deidre DeJear,Dem,240,,403,643,,,
Webster,Secretary of State,Deidre DeJear,Dem,"2,497",,"3,203",5700,,,
Winnebago,Secretary of State,Deidre DeJear,Dem,617,,964,1581,,,
Winneshiek,Secretary of State,Deidre DeJear,Dem,"2,924",,"1,663",4587,,,
Woodbury,Secretary of State,Deidre DeJear,Dem,"7,289",,"7,597",14886,,,
Worth,Secretary of State,Deidre DeJear,Dem,440,,863,1303,,,
Wright,Secretary of State,Deidre DeJear,Dem,605,,973,1578,,,
Adair,Secretary of State,Jules Ofenbakh,Lib,24,,45,69,,,
Adams,Secretary of State,Jules Ofenbakh,Lib,11,,32,43,,,
Allamakee,Secretary of State,Jules Ofenbakh,Lib,58,,86,144,,,
Appanoose,Secretary of State,Jules Ofenbakh,Lib,38,,62,100,,,
Audubon,Secretary of State,Jules Ofenbakh,Lib,15,,33,48,,,
Benton,Secretary of State,Jules Ofenbakh,Lib,54,,243,297,,,
Black Hawk,Secretary of State,Jules Ofenbakh,Lib,362,,800,1162,,,
Boone,Secretary of State,Jules Ofenbakh,Lib,110,,208,318,,,
Bremer,Secretary of State,Jules Ofenbakh,Lib,65,,174,239,,,
Buchanan,Secretary of State,Jules Ofenbakh,Lib,55,,160,215,,,
Buena Vista,Secretary of State,Jules Ofenbakh,Lib,35,,106,141,,,
Butler,Secretary of State,Jules Ofenbakh,Lib,30,,93,123,,,
Calhoun,Secretary of State,Jules Ofenbakh,Lib,32,,65,97,,,
Carroll,Secretary of State,Jules Ofenbakh,Lib,70,,99,169,,,
Cass,Secretary of State,Jules Ofenbakh,Lib,29,,71,100,,,
Cedar,Secretary of State,Jules Ofenbakh,Lib,66,,135,201,,,
Cerro Gordo,Secretary of State,Jules Ofenbakh,Lib,122,,293,415,,,
Cherokee,Secretary of State,Jules Ofenbakh,Lib,33,,54,87,,,
Chickasaw,Secretary of State,Jules Ofenbakh,Lib,39,,50,89,,,
Clarke,Secretary of State,Jules Ofenbakh,Lib,24,,63,87,,,
Clay,Secretary of State,Jules Ofenbakh,Lib,29,,91,120,,,
Clayton,Secretary of State,Jules Ofenbakh,Lib,58,,115,173,,,
Clinton,Secretary of State,Jules Ofenbakh,Lib,149,,251,400,,,
Crawford,Secretary of State,Jules Ofenbakh,Lib,54,,66,120,,,
Dallas,Secretary of State,Jules Ofenbakh,Lib,252,,675,927,,,
Davis,Secretary of State,Jules Ofenbakh,Lib,13,,43,56,,,
Decatur,Secretary of State,Jules Ofenbakh,Lib,20,,62,82,,,
Delaware,Secretary of State,Jules Ofenbakh,Lib,48,,108,156,,,
Des Moines,Secretary of State,Jules Ofenbakh,Lib,100,,221,321,,,
Dickinson,Secretary of State,Jules Ofenbakh,Lib,44,,79,123,,,
Dubuque,Secretary of State,Jules Ofenbakh,Lib,374,,657,1031,,,
Emmet,Secretary of State,Jules Ofenbakh,Lib,27,,48,75,,,
Fayette,Secretary of State,Jules Ofenbakh,Lib,61,,141,202,,,
Floyd,Secretary of State,Jules Ofenbakh,Lib,41,,87,128,,,
Franklin,Secretary of State,Jules Ofenbakh,Lib,16,,55,71,,,
Fremont,Secretary of State,Jules Ofenbakh,Lib,14,,65,79,,,
Greene,Secretary of State,Jules Ofenbakh,Lib,32,,66,98,,,
Grundy,Secretary of State,Jules Ofenbakh,Lib,16,,77,93,,,
Guthrie,Secretary of State,Jules Ofenbakh,Lib,50,,105,155,,,
Hamilton,Secretary of State,Jules Ofenbakh,Lib,47,,81,128,,,
Hancock,Secretary of State,Jules Ofenbakh,Lib,26,,76,102,,,
Hardin,Secretary of State,Jules Ofenbakh,Lib,46,,93,139,,,
Harrison,Secretary of State,Jules Ofenbakh,Lib,39,,130,169,,,
Henry,Secretary of State,Jules Ofenbakh,Lib,40,,99,139,,,
Howard,Secretary of State,Jules Ofenbakh,Lib,36,,54,90,,,
Humboldt,Secretary of State,Jules Ofenbakh,Lib,26,,60,86,,,
Ida,Secretary of State,Jules Ofenbakh,Lib,11,,38,49,,,
Iowa,Secretary of State,Jules Ofenbakh,Lib,47,,135,182,,,
Jackson,Secretary of State,Jules Ofenbakh,Lib,88,,142,230,,,
Jasper,Secretary of State,Jules Ofenbakh,Lib,89,,242,331,,,
Jefferson,Secretary of State,Jules Ofenbakh,Lib,75,,107,182,,,
Johnson,Secretary of State,Jules Ofenbakh,Lib,464,,"1,075",1539,,,
Jones,Secretary of State,Jules Ofenbakh,Lib,70,,139,209,,,
Keokuk,Secretary of State,Jules Ofenbakh,Lib,9,,49,58,,,
Kossuth,Secretary of State,Jules Ofenbakh,Lib,45,,69,114,,,
Lee,Secretary of State,Jules Ofenbakh,Lib,101,,198,299,,,
Linn,Secretary of State,Jules Ofenbakh,Lib,914,,"2,286",3200,,,
Louisa,Secretary of State,Jules Ofenbakh,Lib,21,,59,80,,,
Lucas,Secretary of State,Jules Ofenbakh,Lib,21,,40,61,,,
Lyon,Secretary of State,Jules Ofenbakh,Lib,14,,61,75,,,
Madison,Secretary of State,Jules Ofenbakh,Lib,71,,126,197,,,
Mahaska,Secretary of State,Jules Ofenbakh,Lib,59,,108,167,,,
Marion,Secretary of State,Jules Ofenbakh,Lib,98,,213,311,,,
Marshall,Secretary of State,Jules Ofenbakh,Lib,115,,216,331,,,
Mills,Secretary of State,Jules Ofenbakh,Lib,71,,130,201,,,
Mitchell,Secretary of State,Jules Ofenbakh,Lib,39,,74,113,,,
Monona,Secretary of State,Jules Ofenbakh,Lib,26,,59,85,,,
Monroe,Secretary of State,Jules Ofenbakh,Lib,18,,35,53,,,
Montgomery,Secretary of State,Jules Ofenbakh,Lib,24,,69,93,,,
Muscatine,Secretary of State,Jules Ofenbakh,Lib,108,,272,380,,,
O'Brien,Secretary of State,Jules Ofenbakh,Lib,12,,72,84,,,
Osceola,Secretary of State,Jules Ofenbakh,Lib,11,,26,37,,,
Page,Secretary of State,Jules Ofenbakh,Lib,32,,66,98,,,
Palo Alto,Secretary of State,Jules Ofenbakh,Lib,27,,39,66,,,
Plymouth,Secretary of State,Jules Ofenbakh,Lib,44,,116,160,,,
Pocahontas,Secretary of State,Jules Ofenbakh,Lib,18,,50,68,,,
Polk,Secretary of State,Jules Ofenbakh,Lib,"1,655",,"3,397",5052,,,
Pottawattamie,Secretary of State,Jules Ofenbakh,Lib,267,,574,841,,,
Poweshiek,Secretary of State,Jules Ofenbakh,Lib,38,,109,147,,,
Ringgold,Secretary of State,Jules Ofenbakh,Lib,6,,32,38,,,
Sac,Secretary of State,Jules Ofenbakh,Lib,14,,54,68,,,
Scott,Secretary of State,Jules Ofenbakh,Lib,501,,"1,172",1673,,,
Shelby,Secretary of State,Jules Ofenbakh,Lib,45,,77,122,,,
Sioux,Secretary of State,Jules Ofenbakh,Lib,45,,128,173,,,
Story,Secretary of State,Jules Ofenbakh,Lib,308,,902,1210,,,
Tama,Secretary of State,Jules Ofenbakh,Lib,38,,118,156,,,
Taylor,Secretary of State,Jules Ofenbakh,Lib,10,,43,53,,,
Union,Secretary of State,Jules Ofenbakh,Lib,57,,78,135,,,
Van Buren,Secretary of State,Jules Ofenbakh,Lib,10,,51,61,,,
Wapello,Secretary of State,Jules Ofenbakh,Lib,89,,167,256,,,
Warren,Secretary of State,Jules Ofenbakh,Lib,172,,404,576,,,
Washington,Secretary of State,Jules Ofenbakh,Lib,68,,148,216,,,
Wayne,Secretary of State,Jules Ofenbakh,Lib,7,,30,37,,,
Webster,Secretary of State,Jules Ofenbakh,Lib,108,,239,347,,,
Winnebago,Secretary of State,Jules Ofenbakh,Lib,32,,108,140,,,
Winneshiek,Secretary of State,Jules Ofenbakh,Lib,93,,81,174,,,
Woodbury,Secretary of State,Jules Ofenbakh,Lib,280,,469,749,,,
Worth,Secretary of State,Jules Ofenbakh,Lib,21,,77,98,,,
Wright,Secretary of State,Jules Ofenbakh,Lib,23,,76,99,,,
Adair,Auditor,Mary Mosiman,Rep,693,,"1,173",1866,,,
Adams,Auditor,Mary Mosiman,Rep,480,,529,1009,,,
Allamakee,Auditor,Mary Mosiman,Rep,"1,121",,"1,789",2910,,,
Appanoose,Auditor,Mary Mosiman,Rep,966,,"1,895",2861,,,
Audubon,Auditor,Mary Mosiman,Rep,599,,828,1427,,,
Benton,Auditor,Mary Mosiman,Rep,"1,583",,"4,422",6005,,,
Black Hawk,Auditor,Mary Mosiman,Rep,"6,673",,"13,228",19901,,,
Boone,Auditor,Mary Mosiman,Rep,"2,323",,"3,365",5688,,,
Bremer,Auditor,Mary Mosiman,Rep,"1,726",,"3,526",5252,,,
Buchanan,Auditor,Mary Mosiman,Rep,"1,204",,"2,438",3642,,,
Buena Vista,Auditor,Mary Mosiman,Rep,"1,019",,"2,177",3196,,,
Butler,Auditor,Mary Mosiman,Rep,"1,156",,"2,335",3491,,,
Calhoun,Auditor,Mary Mosiman,Rep,738,,"1,666",2404,,,
Carroll,Auditor,Mary Mosiman,Rep,"1,665",,"3,126",4791,,,
Cass,Auditor,Mary Mosiman,Rep,"1,319",,"2,312",3631,,,
Cedar,Auditor,Mary Mosiman,Rep,"1,335",,"2,632",3967,,,
Cerro Gordo,Auditor,Mary Mosiman,Rep,"3,325",,"5,856",9181,,,
Cherokee,Auditor,Mary Mosiman,Rep,"1,126",,"1,627",2753,,,
Chickasaw,Auditor,Mary Mosiman,Rep,"1,032",,"1,375",2407,,,
Clarke,Auditor,Mary Mosiman,Rep,613,,"1,245",1858,,,
Clay,Auditor,Mary Mosiman,Rep,"1,612",,"2,241",3853,,,
Clayton,Auditor,Mary Mosiman,Rep,"1,276",,"2,536",3812,,,
Clinton,Auditor,Mary Mosiman,Rep,"3,005",,"4,891",7896,,,
Crawford,Auditor,Mary Mosiman,Rep,"1,249",,"1,938",3187,,,
Dallas,Auditor,Mary Mosiman,Rep,"7,337",,"12,307",19644,,,
Davis,Auditor,Mary Mosiman,Rep,653,,"1,197",1850,,,
Decatur,Auditor,Mary Mosiman,Rep,463,,"1,179",1642,,,
Delaware,Auditor,Mary Mosiman,Rep,"1,406",,"2,695",4101,,,
Des Moines,Auditor,Mary Mosiman,Rep,"2,460",,"3,708",6168,,,
Dickinson,Auditor,Mary Mosiman,Rep,"2,386",,"2,590",4976,,,
Dubuque,Auditor,Mary Mosiman,Rep,"6,493",,"10,134",16627,,,
Emmet,Auditor,Mary Mosiman,Rep,555,,"1,412",1967,,,
Fayette,Auditor,Mary Mosiman,Rep,"1,279",,"2,584",3863,,,
Floyd,Auditor,Mary Mosiman,Rep,"1,138",,"2,061",3199,,,
Franklin,Auditor,Mary Mosiman,Rep,760,,"1,664",2424,,,
Fremont,Auditor,Mary Mosiman,Rep,695,,"1,172",1867,,,
Greene,Auditor,Mary Mosiman,Rep,757,,"1,205",1962,,,
Grundy,Auditor,Mary Mosiman,Rep,"1,029",,"2,385",3414,,,
Guthrie,Auditor,Mary Mosiman,Rep,880,,"1,830",2710,,,
Hamilton,Auditor,Mary Mosiman,Rep,"1,164",,"2,210",3374,,,
Hancock,Auditor,Mary Mosiman,Rep,902,,"2,265",3167,,,
Hardin,Auditor,Mary Mosiman,Rep,"1,646",,"2,515",4161,,,
Harrison,Auditor,Mary Mosiman,Rep,"1,078",,"2,651",3729,,,
Henry,Auditor,Mary Mosiman,Rep,"1,785",,"2,265",4050,,,
Howard,Auditor,Mary Mosiman,Rep,546,,"1,284",1830,,,
Humboldt,Auditor,Mary Mosiman,Rep,888,,"1,617",2505,,,
Ida,Auditor,Mary Mosiman,Rep,455,,"1,288",1743,,,
Iowa,Auditor,Mary Mosiman,Rep,"1,157",,"2,814",3971,,,
Jackson,Auditor,Mary Mosiman,Rep,"1,396",,"2,347",3743,,,
Jasper,Auditor,Mary Mosiman,Rep,"2,548",,"4,987",7535,,,
Jefferson,Auditor,Mary Mosiman,Rep,"1,134",,"1,779",2913,,,
Johnson,Auditor,Mary Mosiman,Rep,"6,316",,"10,748",17064,,,
Jones,Auditor,Mary Mosiman,Rep,"1,418",,"2,761",4179,,,
Keokuk,Auditor,Mary Mosiman,Rep,631,,"1,768",2399,,,
Kossuth,Auditor,Mary Mosiman,Rep,"1,531",,"2,855",4386,,,
Lee,Auditor,Mary Mosiman,Rep,"2,418",,"3,465",5883,,,
Linn,Auditor,Mary Mosiman,Rep,"11,649",,"26,143",37792,,,
Louisa,Auditor,Mary Mosiman,Rep,655,,"1,357",2012,,,
Lucas,Auditor,Mary Mosiman,Rep,831,,"1,226",2057,,,
Lyon,Auditor,Mary Mosiman,Rep,"1,281",,"2,784",4065,,,
Madison,Auditor,Mary Mosiman,Rep,"1,594",,"2,556",4150,,,
Mahaska,Auditor,Mary Mosiman,Rep,"2,341",,"3,116",5457,,,
Marion,Auditor,Mary Mosiman,Rep,"3,296",,"5,315",8611,,,
Marshall,Auditor,Mary Mosiman,Rep,"2,589",,"4,105",6694,,,
Mills,Auditor,Mary Mosiman,Rep,"1,740",,"2,187",3927,,,
Mitchell,Auditor,Mary Mosiman,Rep,855,,"1,627",2482,,,
Monona,Auditor,Mary Mosiman,Rep,670,,"1,254",1924,,,
Monroe,Auditor,Mary Mosiman,Rep,650,,"1,127",1777,,,
Montgomery,Auditor,Mary Mosiman,Rep,949,,"1,668",2617,,,
Muscatine,Auditor,Mary Mosiman,Rep,"2,731",,"3,969",6700,,,
O'Brien,Auditor,Mary Mosiman,Rep,"1,137",,"2,839",3976,,,
Osceola,Auditor,Mary Mosiman,Rep,481,,"1,311",1792,,,
Page,Auditor,Mary Mosiman,Rep,"1,350",,"2,409",3759,,,
Palo Alto,Auditor,Mary Mosiman,Rep,851,,"1,205",2056,,,
Plymouth,Auditor,Mary Mosiman,Rep,"2,612",,"4,043",6655,,,
Pocahontas,Auditor,Mary Mosiman,Rep,574,,"1,256",1830,,,
Polk,Auditor,Mary Mosiman,Rep,"26,668",,"50,183",76851,,,
Pottawattamie,Auditor,Mary Mosiman,Rep,"7,213",,"11,588",18801,,,
Poweshiek,Auditor,Mary Mosiman,Rep,"1,364",,"2,318",3682,,,
Ringgold,Auditor,Mary Mosiman,Rep,405,,829,1234,,,
Sac,Auditor,Mary Mosiman,Rep,686,,"1,806",2492,,,
Scott,Auditor,Mary Mosiman,Rep,"11,387",,"17,464",28851,,,
Shelby,Auditor,Mary Mosiman,Rep,"1,428",,"1,872",3300,,,
Sioux,Auditor,Mary Mosiman,Rep,"3,585",,"8,141",11726,,,
Story,Auditor,Mary Mosiman,Rep,"5,727",,"12,042",17769,,,
Tama,Auditor,Mary Mosiman,Rep,885,,"2,482",3367,,,
Taylor,Auditor,Mary Mosiman,Rep,468,,"1,052",1520,,,
Union,Auditor,Mary Mosiman,Rep,"1,097",,"1,437",2534,,,
Van Buren,Auditor,Mary Mosiman,Rep,487,,"1,388",1875,,,
Wapello,Auditor,Mary Mosiman,Rep,"2,019",,"3,743",5762,,,
Warren,Auditor,Mary Mosiman,Rep,"4,526",,"6,984",11510,,,
Washington,Auditor,Mary Mosiman,Rep,"1,740",,"2,892",4632,,,
Wayne,Auditor,Mary Mosiman,Rep,440,,930,1370,,,
Webster,Auditor,Mary Mosiman,Rep,"2,191",,"4,531",6722,,,
Winnebago,Auditor,Mary Mosiman,Rep,762,,"2,003",2765,,,
Winneshiek,Auditor,Mary Mosiman,Rep,"1,708",,"1,955",3663,,,
Woodbury,Auditor,Mary Mosiman,Rep,"6,551",,"9,232",15783,,,
Worth,Auditor,Mary Mosiman,Rep,427,,"1,505",1932,,,
Wright,Auditor,Mary Mosiman,Rep,"1,001",,"1,811",2812,,,
Adair,Auditor,Rob Sand,Dem,611,,765,1376,,,
Adams,Auditor,Rob Sand,Dem,335,,305,640,,,
Allamakee,Auditor,Rob Sand,Dem,"1,254",,"1,243",2497,,,
Appanoose,Auditor,Rob Sand,Dem,920,,"1,061",1981,,,
Audubon,Auditor,Rob Sand,Dem,475,,566,1041,,,
Benton,Auditor,Rob Sand,Dem,"1,608",,"3,506",5114,,,
Black Hawk,Auditor,Rob Sand,Dem,"13,185",,"17,855",31040,,,
Boone,Auditor,Rob Sand,Dem,"2,975",,"2,914",5889,,,
Bremer,Auditor,Rob Sand,Dem,"2,307",,"3,380",5687,,,
Buchanan,Auditor,Rob Sand,Dem,"1,746",,"2,700",4446,,,
Buena Vista,Auditor,Rob Sand,Dem,"1,208",,"1,792",3000,,,
Butler,Auditor,Rob Sand,Dem,776,,"1,618",2394,,,
Calhoun,Auditor,Rob Sand,Dem,635,,"1,022",1657,,,
Carroll,Auditor,Rob Sand,Dem,"1,659",,"1,896",3555,,,
Cass,Auditor,Rob Sand,Dem,744,,"1,060",1804,,,
Cedar,Auditor,Rob Sand,Dem,"1,533",,"2,257",3790,,,
Cerro Gordo,Auditor,Rob Sand,Dem,"4,028",,"4,705",8733,,,
Cherokee,Auditor,Rob Sand,Dem,974,,"1,185",2159,,,
Chickasaw,Auditor,Rob Sand,Dem,"1,395",,"1,212",2607,,,
Clarke,Auditor,Rob Sand,Dem,711,,923,1634,,,
Clay,Auditor,Rob Sand,Dem,"1,360",,"1,358",2718,,,
Clayton,Auditor,Rob Sand,Dem,"1,439",,"2,343",3782,,,
Clinton,Auditor,Rob Sand,Dem,"4,863",,"4,697",9560,,,
Crawford,Auditor,Rob Sand,Dem,771,,"1,001",1772,,,
Dallas,Auditor,Rob Sand,Dem,"8,833",,"11,261",20094,,,
Davis,Auditor,Rob Sand,Dem,464,,637,1101,,,
Decatur,Auditor,Rob Sand,Dem,384,,748,1132,,,
Delaware,Auditor,Rob Sand,Dem,"1,267",,"1,987",3254,,,
Des Moines,Auditor,Rob Sand,Dem,"4,151",,"4,160",8311,,,
Dickinson,Auditor,Rob Sand,Dem,"1,905",,"1,621",3526,,,
Dubuque,Auditor,Rob Sand,Dem,"12,448",,"10,878",23326,,,
Emmet,Auditor,Rob Sand,Dem,619,,955,1574,,,
Fayette,Auditor,Rob Sand,Dem,"1,660",,"2,367",4027,,,
Floyd,Auditor,Rob Sand,Dem,"1,277",,"1,499",2776,,,
Franklin,Auditor,Rob Sand,Dem,551,,937,1488,,,
Fremont,Auditor,Rob Sand,Dem,362,,603,965,,,
Greene,Auditor,Rob Sand,Dem,914,,976,1890,,,
Grundy,Auditor,Rob Sand,Dem,674,,"1,479",2153,,,
Guthrie,Auditor,Rob Sand,Dem,856,,"1,201",2057,,,
Hamilton,Auditor,Rob Sand,Dem,"1,310",,"1,384",2694,,,
Hancock,Auditor,Rob Sand,Dem,519,,851,1370,,,
Hardin,Auditor,Rob Sand,Dem,"1,301",,"1,479",2780,,,
Harrison,Auditor,Rob Sand,Dem,593,,"1,315",1908,,,
Henry,Auditor,Rob Sand,Dem,"1,574",,"1,517",3091,,,
Howard,Auditor,Rob Sand,Dem,617,,"1,006",1623,,,
Humboldt,Auditor,Rob Sand,Dem,611,,791,1402,,,
Ida,Auditor,Rob Sand,Dem,319,,743,1062,,,
Iowa,Auditor,Rob Sand,Dem,"1,260",,"2,041",3301,,,
Jackson,Auditor,Rob Sand,Dem,"2,034",,"2,232",4266,,,
Jasper,Auditor,Rob Sand,Dem,"3,584",,"4,172",7756,,,
Jefferson,Auditor,Rob Sand,Dem,"2,697",,"1,074",3771,,,
Johnson,Auditor,Rob Sand,Dem,"26,609",,"21,076",47685,,,
Jones,Auditor,Rob Sand,Dem,"1,675",,"2,388",4063,,,
Keokuk,Auditor,Rob Sand,Dem,476,,984,1460,,,
Kossuth,Auditor,Rob Sand,Dem,"1,331",,"1,350",2681,,,
Lee,Auditor,Rob Sand,Dem,"3,266",,"2,946",6212,,,
Linn,Auditor,Rob Sand,Dem,"24,385",,"34,852",59237,,,
Louisa,Auditor,Rob Sand,Dem,619,,"1,036",1655,,,
Lucas,Auditor,Rob Sand,Dem,586,,773,1359,,,
Lyon,Auditor,Rob Sand,Dem,247,,581,828,,,
Madison,Auditor,Rob Sand,Dem,"1,512",,"1,608",3120,,,
Mahaska,Auditor,Rob Sand,Dem,"1,417",,"1,280",2697,,,
Marion,Auditor,Rob Sand,Dem,"2,751",,"2,945",5696,,,
Marshall,Auditor,Rob Sand,Dem,"3,578",,"3,683",7261,,,
Mills,Auditor,Rob Sand,Dem,"1,022",,969,1991,,,
Mitchell,Auditor,Rob Sand,Dem,759,,960,1719,,,
Monona,Auditor,Rob Sand,Dem,672,,986,1658,,,
Monroe,Auditor,Rob Sand,Dem,560,,647,1207,,,
Montgomery,Auditor,Rob Sand,Dem,504,,611,1115,,,
Muscatine,Auditor,Rob Sand,Dem,"3,564",,"4,115",7679,,,
O'Brien,Auditor,Rob Sand,Dem,444,,"1,147",1591,,,
Osceola,Auditor,Rob Sand,Dem,150,,352,502,,,
Page,Auditor,Rob Sand,Dem,735,,921,1656,,,
Palo Alto,Auditor,Rob Sand,Dem,694,,824,1518,,,
Plymouth,Auditor,Rob Sand,Dem,"1,596",,"2,092",3688,,,
Pocahontas,Auditor,Rob Sand,Dem,445,,675,1120,,,
Polk,Auditor,Rob Sand,Dem,"56,510",,"63,475",119985,,,
Pottawattamie,Auditor,Rob Sand,Dem,"6,099",,"7,321",13420,,,
Poweshiek,Auditor,Rob Sand,Dem,"2,377",,"1,894",4271,,,
Ringgold,Auditor,Rob Sand,Dem,408,,556,964,,,
Sac,Auditor,Rob Sand,Dem,447,,"1,145",1592,,,
Scott,Auditor,Rob Sand,Dem,"19,125",,"18,239",37364,,,
Shelby,Auditor,Rob Sand,Dem,668,,769,1437,,,
Sioux,Auditor,Rob Sand,Dem,851,,"1,643",2494,,,
Story,Auditor,Rob Sand,Dem,"10,303",,"12,562",22865,,,
Tama,Auditor,Rob Sand,Dem,"1,109",,"2,529",3638,,,
Taylor,Auditor,Rob Sand,Dem,282,,518,800,,,
Union,Auditor,Rob Sand,Dem,"1,082",,"1,022",2104,,,
Van Buren,Auditor,Rob Sand,Dem,276,,610,886,,,
Wapello,Auditor,Rob Sand,Dem,"2,735",,"2,907",5642,,,
Warren,Auditor,Rob Sand,Dem,"5,732",,"5,613",11345,,,
Washington,Auditor,Rob Sand,Dem,"1,925",,"2,155",4080,,,
Wayne,Auditor,Rob Sand,Dem,348,,551,899,,,
Webster,Auditor,Rob Sand,Dem,"2,913",,"3,749",6662,,,
Winnebago,Auditor,Rob Sand,Dem,611,,"1,041",1652,,,
Winneshiek,Auditor,Rob Sand,Dem,"3,700",,"2,286",5986,,,
Woodbury,Auditor,Rob Sand,Dem,"8,882",,"8,922",17804,,,
Worth,Auditor,Rob Sand,Dem,471,,930,1401,,,
Wright,Auditor,Rob Sand,Dem,758,,"1,148",1906,,,
Adair,Auditor,Fred Perryman,Lib,25,,48,73,,,
Adams,Auditor,Fred Perryman,Lib,14,,24,38,,,
Allamakee,Auditor,Fred Perryman,Lib,49,,82,131,,,
Appanoose,Auditor,Fred Perryman,Lib,37,,58,95,,,
Audubon,Auditor,Fred Perryman,Lib,22,,38,60,,,
Benton,Auditor,Fred Perryman,Lib,58,,208,266,,,
Black Hawk,Auditor,Fred Perryman,Lib,357,,935,1292,,,
Boone,Auditor,Fred Perryman,Lib,106,,229,335,,,
Bremer,Auditor,Fred Perryman,Lib,66,,225,291,,,
Buchanan,Auditor,Fred Perryman,Lib,59,,164,223,,,
Buena Vista,Auditor,Fred Perryman,Lib,33,,107,140,,,
Butler,Auditor,Fred Perryman,Lib,21,,109,130,,,
Calhoun,Auditor,Fred Perryman,Lib,30,,68,98,,,
Carroll,Auditor,Fred Perryman,Lib,50,,113,163,,,
Cass,Auditor,Fred Perryman,Lib,40,,99,139,,,
Cedar,Auditor,Fred Perryman,Lib,52,,131,183,,,
Cerro Gordo,Auditor,Fred Perryman,Lib,160,,372,532,,,
Cherokee,Auditor,Fred Perryman,Lib,30,,50,80,,,
Chickasaw,Auditor,Fred Perryman,Lib,44,,65,109,,,
Clarke,Auditor,Fred Perryman,Lib,20,,79,99,,,
Clay,Auditor,Fred Perryman,Lib,36,,108,144,,,
Clayton,Auditor,Fred Perryman,Lib,51,,126,177,,,
Clinton,Auditor,Fred Perryman,Lib,147,,322,469,,,
Crawford,Auditor,Fred Perryman,Lib,59,,87,146,,,
Dallas,Auditor,Fred Perryman,Lib,232,,735,967,,,
Davis,Auditor,Fred Perryman,Lib,21,,68,89,,,
Decatur,Auditor,Fred Perryman,Lib,22,,72,94,,,
Delaware,Auditor,Fred Perryman,Lib,44,,104,148,,,
Des Moines,Auditor,Fred Perryman,Lib,78,,250,328,,,
Dickinson,Auditor,Fred Perryman,Lib,57,,92,149,,,
Dubuque,Auditor,Fred Perryman,Lib,333,,745,1078,,,
Emmet,Auditor,Fred Perryman,Lib,25,,60,85,,,
Fayette,Auditor,Fred Perryman,Lib,50,,134,184,,,
Floyd,Auditor,Fred Perryman,Lib,49,,121,170,,,
Franklin,Auditor,Fred Perryman,Lib,13,,67,80,,,
Fremont,Auditor,Fred Perryman,Lib,18,,66,84,,,
Greene,Auditor,Fred Perryman,Lib,29,,70,99,,,
Grundy,Auditor,Fred Perryman,Lib,13,,87,100,,,
Guthrie,Auditor,Fred Perryman,Lib,43,,115,158,,,
Hamilton,Auditor,Fred Perryman,Lib,41,,98,139,,,
Hancock,Auditor,Fred Perryman,Lib,23,,110,133,,,
Hardin,Auditor,Fred Perryman,Lib,58,,99,157,,,
Harrison,Auditor,Fred Perryman,Lib,39,,149,188,,,
Henry,Auditor,Fred Perryman,Lib,43,,107,150,,,
Howard,Auditor,Fred Perryman,Lib,27,,58,85,,,
Humboldt,Auditor,Fred Perryman,Lib,26,,61,87,,,
Ida,Auditor,Fred Perryman,Lib,8,,38,46,,,
Iowa,Auditor,Fred Perryman,Lib,33,,140,173,,,
Jackson,Auditor,Fred Perryman,Lib,85,,139,224,,,
Jasper,Auditor,Fred Perryman,Lib,116,,281,397,,,
Jefferson,Auditor,Fred Perryman,Lib,93,,113,206,,,
Johnson,Auditor,Fred Perryman,Lib,525,,"1,217",1742,,,
Jones,Auditor,Fred Perryman,Lib,43,,153,196,,,
Keokuk,Auditor,Fred Perryman,Lib,15,,70,85,,,
Kossuth,Auditor,Fred Perryman,Lib,41,,116,157,,,
Lee,Auditor,Fred Perryman,Lib,117,,240,357,,,
Linn,Auditor,Fred Perryman,Lib,779,,"2,377",3156,,,
Louisa,Auditor,Fred Perryman,Lib,22,,61,83,,,
Lucas,Auditor,Fred Perryman,Lib,34,,54,88,,,
Lyon,Auditor,Fred Perryman,Lib,14,,68,82,,,
Madison,Auditor,Fred Perryman,Lib,66,,141,207,,,
Mahaska,Auditor,Fred Perryman,Lib,67,,132,199,,,
