office,district,candidate,party,county,votes
United States Representative,4,TOM LATHAM,Republican,Hancock,4055
United States Representative,4,OVER VOTES,,Hancock,2
United States Representative,4,UNDER VOTES,,Hancock,138
United States Representative,4,SCATTERING,,Hancock,3
United States Representative,4,TOTAL,,Hancock,5983
United States Representative,4,BECKY GREENWALD,Democrat,Hardin,2960
United States Representative,4,TOM LATHAM,Republican,Hardin,5723
United States Representative,4,OVER VOTES,,Hardin,2
United States Representative,4,UNDER VOTES,,Hardin,254
United States Representative,4,SCATTERING,,Hardin,6
United States Representative,4,TOTAL,,Hardin,8945
United States Representative,4,BECKY GREENWALD,Democrat,Howard,1862
United States Representative,4,TOM LATHAM,Republican,Howard,2744
United States Representative,4,OVER VOTES,,Howard,0
United States Representative,4,UNDER VOTES,,Howard,0
United States Representative,4,SCATTERING,,Howard,0
United States Representative,4,TOTAL,,Howard,4606
United States Representative,4,BECKY GREENWALD,Democrat,Humboldt,1350
United States Representative,4,TOM LATHAM,Republican,Humboldt,3705
United States Representative,4,OVER VOTES,,Humboldt,1
United States Representative,4,UNDER VOTES,,Humboldt,0
United States Representative,4,SCATTERING,,Humboldt,2
United States Representative,4,TOTAL,,Humboldt,5058
United States Representative,4,BECKY GREENWALD,Democrat,Kossuth,2915
United States Representative,4,TOM LATHAM,Republican,Kossuth,6058
United States Representative,4,OVER VOTES,,Kossuth,4
United States Representative,4,UNDER VOTES,,Kossuth,223
United States Representative,4,SCATTERING,,Kossuth,3
United States Representative,4,TOTAL,,Kossuth,9203
United States Representative,4,BECKY GREENWALD,Democrat,Madison,3098
United States Representative,4,TOM LATHAM,Republican,Madison,5202
United States Representative,4,OVER VOTES,,Madison,2
United States Representative,4,UNDER VOTES,,Madison,229
United States Representative,4,SCATTERING,,Madison,7
United States Representative,4,TOTAL,,Madison,8538
United States Representative,4,BECKY GREENWALD,Democrat,Marshall,8055
United States Representative,4,TOM LATHAM,Republican,Marshall,10196
United States Representative,4,OVER VOTES,,Marshall,11
United States Representative,4,UNDER VOTES,,Marshall,494
United States Representative,4,SCATTERING,,Marshall,9
United States Representative,4,TOTAL,,Marshall,18765
United States Representative,4,BECKY GREENWALD,Democrat,Mitchell,1911
United States Representative,4,TOM LATHAM,Republican,Mitchell,3715
United States Representative,4,OVER VOTES,,Mitchell,0
United States Representative,4,UNDER VOTES,,Mitchell,0
United States Representative,4,SCATTERING,,Mitchell,8
United States Representative,4,TOTAL,,Mitchell,5634
United States Representative,4,BECKY GREENWALD,Democrat,Palo Alto,1896
United States Representative,4,TOM LATHAM,Republican,Palo Alto,2770
United States Representative,4,OVER VOTES,,Palo Alto,1
United States Representative,4,UNDER VOTES,,Palo Alto,188
United States Representative,4,SCATTERING,,Palo Alto,3
United States Representative,4,TOTAL,,Palo Alto,4858
United States Representative,4,BECKY GREENWALD,Democrat,Pocahontas,1109
United States Representative,4,TOM LATHAM,Republican,Pocahontas,2824
United States Representative,4,OVER VOTES,,Pocahontas,1
United States Representative,4,UNDER VOTES,,Pocahontas,109
United States Representative,4,SCATTERING,,Pocahontas,1
United States Representative,4,TOTAL,,Pocahontas,4044
United States Representative,4,BECKY GREENWALD,Democrat,Story,20309
United States Representative,4,TOM LATHAM,Republican,Story,24469
United States Representative,4,OVER VOTES,,Story,4
United States Representative,4,UNDER VOTES,,Story,1887
United States Representative,4,SCATTERING,,Story,52
United States Representative,4,TOTAL,,Story,46721
United States Representative,4,BECKY GREENWALD,Democrat,Warren,10236
United States Representative,4,TOM LATHAM,Republican,Warren,14005
United States Representative,4,OVER VOTES,,Warren,3
United States Representative,4,UNDER VOTES,,Warren,0
United States Representative,4,SCATTERING,,Warren,13
United States Representative,4,TOTAL,,Warren,24257
United States Representative,4,BECKY GREENWALD,Democrat,Webster,7091
United States Representative,4,TOM LATHAM,Republican,Webster,11055
United States Representative,4,OVER VOTES,,Webster,6
United States Representative,4,UNDER VOTES,,Webster,541
United States Representative,4,SCATTERING,,Webster,15
United States Representative,4,TOTAL,,Webster,18708
United States Representative,4,BECKY GREENWALD,Democrat,Winnebago,2007
United States Representative,4,TOM LATHAM,Republican,Winnebago,3951
United States Representative,4,OVER VOTES,,Winnebago,0
United States Representative,4,UNDER VOTES,,Winnebago,161
United States Representative,4,SCATTERING,,Winnebago,3
United States Representative,4,TOTAL,,Winnebago,6122
United States Representative,4,BECKY GREENWALD,Democrat,Winneshiek,4434
United States Representative,4,TOM LATHAM,Republican,Winneshiek,6353
United States Representative,4,OVER VOTES,,Winneshiek,2
United States Representative,4,UNDER VOTES,,Winneshiek,574
United States Representative,4,SCATTERING,,Winneshiek,4
United States Representative,4,TOTAL,,Winneshiek,11367
United States Representative,4,BECKY GREENWALD,Democrat,Worth,1767
United States Representative,4,TOM LATHAM,Republican,Worth,2419
United States Representative,4,OVER VOTES,,Worth,2
United States Representative,4,UNDER VOTES,,Worth,94
United States Representative,4,SCATTERING,,Worth,0
United States Representative,4,TOTAL,,Worth,4282
United States Representative,4,BECKY GREENWALD,Democrat,Wright,1921
United States Representative,4,TOM LATHAM,Republican,Wright,4379
United States Representative,4,OVER VOTES,,Wright,0
United States Representative,4,UNDER VOTES,,Wright,0
United States Representative,4,SCATTERING,,Wright,2
United States Representative,4,TOTAL,,Wright,6302
United States Representative,4,BECKY GREENWALD,Democrat,Total,120746
United States Representative,4,TOM LATHAM,Republican,Total,185458
United States Representative,4,OVER VOTES,,Total,61
United States Representative,4,UNDER VOTES,,Total,8109
United States Representative,4,SCATTERING,,Total,197
United States Representative,4,TOTAL,,Total,314571
United States Representative,5,STEVE KING,Republican,Adair,2329
United States Representative,5,ROB HUBLER,Democrat,Adair,1426
United States Representative,5,VICTOR VARA,Independent,Adair,105
United States Representative,5,OVER VOTES,,Adair,0
United States Representative,5,UNDER VOTES,,Adair,0
United States Representative,5,SCATTERING,,Adair,2
United States Representative,5,TOTAL,,Adair,3862
United States Representative,5,STEVE KING,Republican,Adams,1139
United States Representative,5,ROB HUBLER,Democrat,Adams,903
United States Representative,5,VICTOR VARA,Independent,Adams,86
United States Representative,5,OVER VOTES,,Adams,0
United States Representative,5,UNDER VOTES,,Adams,0
United States Representative,5,SCATTERING,,Adams,0
United States Representative,5,TOTAL,,Adams,2128
United States Representative,5,STEVE KING,Republican,Audubon,1923
United States Representative,5,ROB HUBLER,Democrat,Audubon,1237
United States Representative,5,VICTOR VARA,Independent,Audubon,75
United States Representative,5,OVER VOTES,,Audubon,0
United States Representative,5,UNDER VOTES,,Audubon,224
United States Representative,5,SCATTERING,,Audubon,1
United States Representative,5,TOTAL,,Audubon,3460
United States Representative,5,STEVE KING,Republican,Buena Vista,4676
United States Representative,5,ROB HUBLER,Democrat,Buena Vista,3250
United States Representative,5,VICTOR VARA,Independent,Buena Vista,177
United States Representative,5,OVER VOTES,,Buena Vista,1
United States Representative,5,UNDER VOTES,,Buena Vista,391
United States Representative,5,SCATTERING,,Buena Vista,3
United States Representative,5,TOTAL,,Buena Vista,8498
United States Representative,5,STEVE KING,Republican,Carroll,5251
United States Representative,5,ROB HUBLER,Democrat,Carroll,4426
United States Representative,5,VICTOR VARA,Independent,Carroll,178
United States Representative,5,OVER VOTES,,Carroll,1
United States Representative,5,UNDER VOTES,,Carroll,634
United States Representative,5,SCATTERING,,Carroll,4
United States Representative,5,TOTAL,,Carroll,10494
United States Representative,5,STEVE KING,Republican,Cass,4213
United States Representative,5,ROB HUBLER,Democrat,Cass,2468
United States Representative,5,VICTOR VARA,Independent,Cass,241
United States Representative,5,OVER VOTES,,Cass,0
United States Representative,5,UNDER VOTES,,Cass,475
United States Representative,5,SCATTERING,,Cass,10
United States Representative,5,TOTAL,,Cass,7407
United States Representative,5,STEVE KING,Republican,Cherokee,3750
United States Representative,5,ROB HUBLER,Democrat,Cherokee,2297
United States Representative,5,VICTOR VARA,Independent,Cherokee,134
United States Representative,5,OVER VOTES,,Cherokee,0
United States Representative,5,UNDER VOTES,,Cherokee,0
United States Representative,5,SCATTERING,,Cherokee,0
United States Representative,5,TOTAL,,Cherokee,6181
United States Representative,5,STEVE KING,Republican,Clarke,2335
United States Representative,5,ROB HUBLER,Democrat,Clarke,1790
United States Representative,5,VICTOR VARA,Independent,Clarke,134
United States Representative,5,OVER VOTES,,Clarke,1
United States Representative,5,UNDER VOTES,,Clarke,0
United States Representative,5,SCATTERING,,Clarke,1
United States Representative,5,TOTAL,,Clarke,4261
United States Representative,5,STEVE KING,Republican,Clay,4742
United States Representative,5,ROB HUBLER,Democrat,Clay,3191
United States Representative,5,VICTOR VARA,Independent,Clay,184
United States Representative,5,OVER VOTES,,Clay,1
United States Representative,5,UNDER VOTES,,Clay,318
United States Representative,5,SCATTERING,,Clay,6
United States Representative,5,TOTAL,,Clay,8442
United States Representative,5,STEVE KING,Republican,Crawford,4314
United States Representative,5,ROB HUBLER,Democrat,Crawford,2416
United States Representative,5,VICTOR VARA,Independent,Crawford,159
United States Representative,5,OVER VOTES,,Crawford,1
United States Representative,5,UNDER VOTES,,Crawford,388
United States Representative,5,SCATTERING,,Crawford,8
United States Representative,5,TOTAL,,Crawford,7286
United States Representative,5,STEVE KING,Republican,Decatur,2080
United States Representative,5,ROB HUBLER,Democrat,Decatur,1688
United States Representative,5,VICTOR VARA,Independent,Decatur,147
United States Representative,5,OVER VOTES,,Decatur,0
United States Representative,5,UNDER VOTES,,Decatur,0
United States Representative,5,SCATTERING,,Decatur,1
United States Representative,5,TOTAL,,Decatur,3916
United States Representative,5,STEVE KING,Republican,Dickinson,5531
United States Representative,5,ROB HUBLER,Democrat,Dickinson,3790
United States Representative,5,VICTOR VARA,Independent,Dickinson,220
United States Representative,5,OVER VOTES,,Dickinson,0
United States Representative,5,UNDER VOTES,,Dickinson,283
United States Representative,5,SCATTERING,,Dickinson,5
United States Representative,5,TOTAL,,Dickinson,9829
United States Representative,5,STEVE KING,Republican,Fremont,2216
United States Representative,5,ROB HUBLER,Democrat,Fremont,1348
United States Representative,5,VICTOR VARA,Independent,Fremont,169
United States Representative,5,OVER VOTES,,Fremont,0
United States Representative,5,UNDER VOTES,,Fremont,206
United States Representative,5,SCATTERING,,Fremont,2
United States Representative,5,TOTAL,,Fremont,3941
United States Representative,5,STEVE KING,Republican,Guthrie,3294
United States Representative,5,ROB HUBLER,Democrat,Guthrie,2193
United States Representative,5,VICTOR VARA,Independent,Guthrie,153
United States Representative,5,OVER VOTES,,Guthrie,1
United States Representative,5,UNDER VOTES,,Guthrie,0
United States Representative,5,SCATTERING,,Guthrie,3
United States Representative,5,TOTAL,,Guthrie,5644
United States Representative,5,STEVE KING,Republican,Harrison,4288
United States Representative,5,ROB HUBLER,Democrat,Harrison,2721
United States Representative,5,VICTOR VARA,Independent,Harrison,232
United States Representative,5,OVER VOTES,,Harrison,0
United States Representative,5,UNDER VOTES,,Harrison,389
United States Representative,5,SCATTERING,,Harrison,7
United States Representative,5,TOTAL,,Harrison,7637
United States Representative,5,STEVE KING,Republican,Ida,2341
United States Representative,5,ROB HUBLER,Democrat,Ida,1074
United States Representative,5,VICTOR VARA,Independent,Ida,53
United States Representative,5,OVER VOTES,,Ida,0
United States Representative,5,UNDER VOTES,,Ida,0
United States Representative,5,SCATTERING,,Ida,2
United States Representative,5,TOTAL,,Ida,3470
United States Representative,5,STEVE KING,Republican,Lyon,4366
United States Representative,5,ROB HUBLER,Democrat,Lyon,1373
United States Representative,5,VICTOR VARA,Independent,Lyon,123
United States Representative,5,OVER VOTES,,Lyon,1
United States Representative,5,UNDER VOTES,,Lyon,390
United States Representative,5,SCATTERING,,Lyon,2
United States Representative,5,TOTAL,,Lyon,6255
United States Representative,5,STEVE KING,Republican,Mills,4210
United States Representative,5,ROB HUBLER,Democrat,Mills,2335
United States Representative,5,VICTOR VARA,Independent,Mills,304
United States Representative,5,OVER VOTES,,Mills,3
United States Representative,5,UNDER VOTES,,Mills,472
United States Representative,5,SCATTERING,,Mills,3
United States Representative,5,TOTAL,,Mills,7327
United States Representative,5,STEVE KING,Republican,Monona,2780
United States Representative,5,ROB HUBLER,Democrat,Monona,1802
United States Representative,5,VICTOR VARA,Independent,Monona,105
United States Representative,5,OVER VOTES,,Monona,0
United States Representative,5,UNDER VOTES,,Monona,0
United States Representative,5,SCATTERING,,Monona,2
United States Representative,5,TOTAL,,Monona,4689
United States Representative,5,STEVE KING,Republican,Montgomery,3280
United States Representative,5,ROB HUBLER,Democrat,Montgomery,1627
United States Representative,5,VICTOR VARA,Independent,Montgomery,152
United States Representative,5,OVER VOTES,,Montgomery,0
United States Representative,5,UNDER VOTES,,Montgomery,0
United States Representative,5,SCATTERING,,Montgomery,4
United States Representative,5,TOTAL,,Montgomery,5063
United States Representative,5,STEVE KING,Republican,O'Brien,4835
United States Representative,5,ROB HUBLER,Democrat,O'Brien,2137
United States Representative,5,VICTOR VARA,Independent,O'Brien,131
United States Representative,5,OVER VOTES,,O'Brien,1
United States Representative,5,UNDER VOTES,,O'Brien,244
United States Representative,5,SCATTERING,,O'Brien,6
United States Representative,5,TOTAL,,O'Brien,7354
United States Representative,5,STEVE KING,Republican,Osceola,2086
United States Representative,5,ROB HUBLER,Democrat,Osceola,851
United States Representative,5,VICTOR VARA,Independent,Osceola,47
United States Representative,5,OVER VOTES,,Osceola,0
United States Representative,5,UNDER VOTES,,Osceola,154
United States Representative,5,SCATTERING,,Osceola,14
United States Representative,5,TOTAL,,Osceola,3152
State Senator,2,RANDY FEENSTRA,Republican,Lyon,4801
State Senator,2,OVER VOTES,,Lyon,0
State Senator,2,UNDER VOTES,,Lyon,1437
State Senator,2,SCATTERING,,Lyon,17
State Senator,2,TOTAL,,Lyon,6255
State Senator,2,RANDY FEENSTRA,Republican,Plymouth,6170
State Senator,2,OVER VOTES,,Plymouth,0
State Senator,2,UNDER VOTES,,Plymouth,0
State Senator,2,SCATTERING,,Plymouth,43
State Senator,2,TOTAL,,Plymouth,6213
State Senator,2,RANDY FEENSTRA,Republican,Sioux,13624
State Senator,2,OVER VOTES,,Sioux,0
State Senator,2,UNDER VOTES,,Sioux,506
State Senator,2,SCATTERING,,Sioux,63
State Senator,2,TOTAL,,Sioux,14193
State Senator,2,RANDY FEENSTRA,Republican,Total,24595
State Senator,2,OVER VOTES,,Total,0
State Senator,2,UNDER VOTES,,Total,1943
State Senator,2,SCATTERING,,Total,123
State Senator,2,TOTAL,,Total,26661
State Senator,4,JOHN P. KIBBIE,Democrat,Emmet,3465
State Senator,4,,Grassroots For Life KEN VASKE,Emmet,1127
State Senator,4,OVER VOTES,,Emmet,0
State Senator,4,UNDER VOTES,,Emmet,481
State Senator,4,SCATTERING,,Emmet,4
State Senator,4,TOTAL,,Emmet,5077
State Senator,4,JOHN P. KIBBIE,Democrat,Humboldt,2975
State Senator,4,,Grassroots For Life KEN VASKE,Humboldt,1105
State Senator,4,OVER VOTES,,Humboldt,2
State Senator,4,UNDER VOTES,,Humboldt,0
State Senator,4,SCATTERING,,Humboldt,7
State Senator,4,TOTAL,,Humboldt,4089
State Senator,4,JOHN P. KIBBIE,Democrat,Kossuth,5329
State Senator,4,,Grassroots For Life KEN VASKE,Kossuth,2952
State Senator,4,OVER VOTES,,Kossuth,4
State Senator,4,UNDER VOTES,,Kossuth,911
State Senator,4,SCATTERING,,Kossuth,7
State Senator,4,TOTAL,,Kossuth,9203
State Senator,4,JOHN P. KIBBIE,Democrat,Palo Alto,3352
State Senator,4,,Grassroots For Life KEN VASKE,Palo Alto,1006
State Senator,4,OVER VOTES,,Palo Alto,1
State Senator,4,UNDER VOTES,,Palo Alto,494
State Senator,4,SCATTERING,,Palo Alto,5
State Senator,4,TOTAL,,Palo Alto,4858
State Senator,4,JOHN P. KIBBIE,Democrat,Pocahontas,2518
State Senator,4,,Grassroots For Life KEN VASKE,Pocahontas,889
State Senator,4,OVER VOTES,,Pocahontas,0
State Senator,4,UNDER VOTES,,Pocahontas,631
State Senator,4,SCATTERING,,Pocahontas,6
State Senator,4,TOTAL,,Pocahontas,4044
State Senator,4,JOHN P. KIBBIE,Democrat,Webster,420
State Senator,4,,Grassroots For Life KEN VASKE,Webster,179
State Senator,4,OVER VOTES,,Webster,0
State Senator,4,UNDER VOTES,,Webster,105
State Senator,4,SCATTERING,,Webster,0
State Senator,4,TOTAL,,Webster,704
State Senator,4,JOHN P. KIBBIE,Democrat,Total,18059
State Senator,4,,Grassroots For Life KEN VASKE,Total,7258
State Senator,4,OVER VOTES,,Total,7
State Senator,4,UNDER VOTES,,Total,2622
State Senator,4,SCATTERING,,Total,29
State Senator,4,TOTAL,,Total,27975
State Senator,6,DOUG THOMPSON,Democrat,Cerro Gordo,3422
State Senator,6,MERLIN BARTZ,Republican,Cerro Gordo,4341
State Senator,6,KENNETH J. ABRAMS,Independent,Cerro Gordo,634
State Senator,6,OVER VOTES,,Cerro Gordo,2
State Senator,6,UNDER VOTES,,Cerro Gordo,335
State Senator,6,SCATTERING,,Cerro Gordo,8
State Senator,6,TOTAL,,Cerro Gordo,8742
State Senator,6,DOUG THOMPSON,Democrat,Franklin,2051
State Senator,6,MERLIN BARTZ,Republican,Franklin,2467
State Senator,6,KENNETH J. ABRAMS,Independent,Franklin,281
State Senator,6,OVER VOTES,,Franklin,4
State Senator,6,UNDER VOTES,,Franklin,317
State Senator,6,SCATTERING,,Franklin,3
State Senator,6,TOTAL,,Franklin,5123
State Senator,6,DOUG THOMPSON,Democrat,Hancock,2634
State Senator,6,MERLIN BARTZ,Republican,Hancock,2809
State Senator,6,KENNETH J. ABRAMS,Independent,Hancock,347
State Senator,6,OVER VOTES,,Hancock,2
State Senator,6,UNDER VOTES,,Hancock,186
State Senator,6,SCATTERING,,Hancock,5
State Senator,6,TOTAL,,Hancock,5983
State Senator,6,DOUG THOMPSON,Democrat,Winnebago,2680
State Senator,6,MERLIN BARTZ,Republican,Winnebago,2727
State Senator,6,KENNETH J. ABRAMS,Independent,Winnebago,455
State Senator,6,OVER VOTES,,Winnebago,0
State Senator,6,UNDER VOTES,,Winnebago,257
State Senator,6,SCATTERING,,Winnebago,3
State Senator,6,TOTAL,,Winnebago,6122
State Senator,6,DOUG THOMPSON,Democrat,Worth,1709
State Senator,6,MERLIN BARTZ,Republican,Worth,1955
State Senator,6,KENNETH J. ABRAMS,Independent,Worth,524
State Senator,6,OVER VOTES,,Worth,0
State Senator,6,UNDER VOTES,,Worth,92
State Senator,6,SCATTERING,,Worth,2
State Senator,6,TOTAL,,Worth,4282
State Senator,6,DOUG THOMPSON,Democrat,Total,12496
State Senator,6,MERLIN BARTZ,Republican,Total,14299
State Senator,6,KENNETH J. ABRAMS,Independent,Total,2241
State Senator,6,OVER VOTES,,Total,8
State Senator,6,UNDER VOTES,,Total,1187
State Senator,6,SCATTERING,,Total,21
State Senator,6,TOTAL,,Total,30252
State Senator,8,MARY JO WILHELM,Democrat,Allamakee,3581
State Senator,8,MARK ZIEMAN,Republican,Allamakee,3357
State Senator,8,OVER VOTES,,Allamakee,1
State Senator,8,UNDER VOTES,,Allamakee,0
State Senator,8,SCATTERING,,Allamakee,8
State Senator,8,TOTAL,,Allamakee,6947
State Senator,8,MARY JO WILHELM,Democrat,Chickasaw,3315
State Senator,8,MARK ZIEMAN,Republican,Chickasaw,3087
State Senator,8,OVER VOTES,,Chickasaw,0
State Senator,8,UNDER VOTES,,Chickasaw,234
State Senator,8,SCATTERING,,Chickasaw,4
State Senator,8,TOTAL,,Chickasaw,6640
State Senator,8,MARY JO WILHELM,Democrat,Howard,2335
State Senator,8,MARK ZIEMAN,Republican,Howard,2197
State Senator,8,OVER VOTES,,Howard,0
State Senator,8,UNDER VOTES,,Howard,0
State Senator,8,SCATTERING,,Howard,0
State Senator,8,TOTAL,,Howard,4532
State Senator,8,MARY JO WILHELM,Democrat,Winneshiek,5631
State Senator,8,MARK ZIEMAN,Republican,Winneshiek,5195
State Senator,8,OVER VOTES,,Winneshiek,2
State Senator,8,UNDER VOTES,,Winneshiek,528
State Senator,8,SCATTERING,,Winneshiek,11
State Senator,8,TOTAL,,Winneshiek,11367
State Senator,8,MARY JO WILHELM,Democrat,Total,14862
State Senator,8,MARK ZIEMAN,Republican,Total,13836
State Senator,8,OVER VOTES,,Total,3
State Senator,8,UNDER VOTES,,Total,762
State Senator,8,SCATTERING,,Total,23
State Senator,8,TOTAL,,Total,29486
State Senator,10,JEFF DANIELSON,Democrat,Black Hawk,16103
State Senator,10,WALT ROGERS,Republican,Black Hawk,16081
State Senator,10,OVER VOTES,,Black Hawk,7
State Senator,10,UNDER VOTES,,Black Hawk,1269
State Senator,10,SCATTERING,,Black Hawk,31
State Senator,10,TOTAL,,Black Hawk,33491
State Senator,10,JEFF DANIELSON,Democrat,Total,16103
State Senator,10,WALT ROGERS,Republican,Total,16081
State Senator,10,OVER VOTES,,Total,7
State Senator,10,UNDER VOTES,,Total,1269
State Senator,10,SCATTERING,,Total,31
State Senator,10,TOTAL,,Total,33491
State Senator,12,BRIAN SCHOENJAHN,Democrat,Black Hawk,2334
State Senator,12,REBECCA WEARMOUTH,Republican,Black Hawk,1501
State Senator,12,OVER VOTES,,Black Hawk,0
State Senator,12,UNDER VOTES,,Black Hawk,263
State Senator,12,SCATTERING,,Black Hawk,0
State Senator,12,TOTAL,,Black Hawk,4098
State Senator,12,BRIAN SCHOENJAHN,Democrat,Buchanan,6498
State Senator,12,REBECCA WEARMOUTH,Republican,Buchanan,3482
State Senator,12,OVER VOTES,,Buchanan,1
State Senator,12,UNDER VOTES,,Buchanan,2
State Senator,12,SCATTERING,,Buchanan,4
State Senator,12,TOTAL,,Buchanan,9987
State Senator,12,BRIAN SCHOENJAHN,Democrat,Clayton,5639
State Senator,12,REBECCA WEARMOUTH,Republican,Clayton,2925
State Senator,12,OVER VOTES,,Clayton,0
State Senator,12,UNDER VOTES,,Clayton,0
State Senator,12,SCATTERING,,Clayton,5
State Senator,12,TOTAL,,Clayton,8569
State Senator,12,BRIAN SCHOENJAHN,Democrat,Delaware,1404
State Senator,12,REBECCA WEARMOUTH,Republican,Delaware,986
State Senator,12,OVER VOTES,,Delaware,0
State Senator,12,UNDER VOTES,,Delaware,0
State Senator,12,SCATTERING,,Delaware,3
State Senator,12,TOTAL,,Delaware,2393
State Senator,12,BRIAN SCHOENJAHN,Democrat,Fayette,1527
State Senator,12,REBECCA WEARMOUTH,Republican,Fayette,747
State Senator,12,OVER VOTES,,Fayette,0
State Senator,12,UNDER VOTES,,Fayette,114
State Senator,12,SCATTERING,,Fayette,0
State Senator,12,TOTAL,,Fayette,2388
State Senator,12,BRIAN SCHOENJAHN,Democrat,Total,17402
State Senator,12,REBECCA WEARMOUTH,Republican,Total,9641
State Senator,12,OVER VOTES,,Total,1
State Senator,12,UNDER VOTES,,Total,379
State Senator,12,SCATTERING,,Total,12
State Senator,12,TOTAL,,Total,27435
State Senator,14,PAM JOCHUM,Democrat,Dubuque,19443
State Senator,14,JOHN HULSIZER JR.,Republican,Dubuque,8428
State Senator,14,OVER VOTES,,Dubuque,1
State Senator,14,UNDER VOTES,,Dubuque,1470
State Senator,14,SCATTERING,,Dubuque,37
State Senator,14,TOTAL,,Dubuque,29379
State Senator,14,PAM JOCHUM,Democrat,Total,19443
State Senator,14,JOHN HULSIZER JR.,Republican,Total,8428
State Senator,14,OVER VOTES,,Total,1
State Senator,14,UNDER VOTES,,Total,1470
State Senator,14,SCATTERING,,Total,37
State Senator,14,TOTAL,,Total,29379
State Senator,16,TOM HANCOCK,Democrat,Delaware,3245
State Senator,16,DAVE MCLAUGHLIN,Republican,Delaware,2858
State Senator,16,OVER VOTES,,Delaware,0
State Senator,16,UNDER VOTES,,Delaware,0
State Senator,16,SCATTERING,,Delaware,4
State Senator,16,TOTAL,,Delaware,6107
State Senator,16,TOM HANCOCK,Democrat,Dubuque,8560
State Senator,16,DAVE MCLAUGHLIN,Republican,Dubuque,6425
State Senator,16,OVER VOTES,,Dubuque,0
State Senator,16,UNDER VOTES,,Dubuque,623
State Senator,16,SCATTERING,,Dubuque,4
State Senator,16,TOTAL,,Dubuque,15612
State Senator,16,TOM HANCOCK,Democrat,Jones,5324
State Senator,16,DAVE MCLAUGHLIN,Republican,Jones,4377
State Senator,16,OVER VOTES,,Jones,2
State Senator,16,UNDER VOTES,,Jones,370
State Senator,16,SCATTERING,,Jones,7
State Senator,16,TOTAL,,Jones,10080
State Senator,16,TOM HANCOCK,Democrat,Total,17129
State Senator,16,DAVE MCLAUGHLIN,Republican,Total,13660
State Senator,16,OVER VOTES,,Total,2
State Senator,16,UNDER VOTES,,Total,993
State Senator,16,SCATTERING,,Total,15
State Senator,16,TOTAL,,Total,31799
State Senator,18,SWATI A. DANDEKAR,Democrat,Linn,20667
State Senator,18,JOE CHILDERS,Republican,Linn,17367
State Senator,18,OVER VOTES,,Linn,3
State Senator,18,UNDER VOTES,,Linn,1685
State Senator,18,SCATTERING,,Linn,30
State Senator,18,TOTAL,,Linn,39752
State Senator,18,SWATI A. DANDEKAR,Democrat,Total,20667
State Senator,18,JOE CHILDERS,Republican,Total,17367
State Senator,18,OVER VOTES,,Total,3
State Senator,18,UNDER VOTES,,Total,1685
State Senator,18,SCATTERING,,Total,30
State Senator,18,TOTAL,,Total,39752
State Senator,20,RANDY L. BRADEN,Democrat,Benton,6030
State Senator,20,TIM L. KAPUCIAN,Republican,Benton,7209
State Senator,20,OVER VOTES,,Benton,1
State Senator,20,UNDER VOTES,,Benton,402
State Senator,20,SCATTERING,,Benton,5
State Senator,20,TOTAL,,Benton,13647
State Senator,20,RANDY L. BRADEN,Democrat,Grundy,2540
State Senator,20,TIM L. KAPUCIAN,Republican,Grundy,3900
State Senator,20,OVER VOTES,,Grundy,1
State Senator,20,UNDER VOTES,,Grundy,446
State Senator,20,SCATTERING,,Grundy,3
State Senator,20,TOTAL,,Grundy,6890
State Senator,20,RANDY L. BRADEN,Democrat,Iowa,934
State Senator,20,TIM L. KAPUCIAN,Republican,Iowa,813
State Senator,20,OVER VOTES,,Iowa,0
State Senator,20,UNDER VOTES,,Iowa,0
State Senator,20,SCATTERING,,Iowa,0
State Senator,20,TOTAL,,Iowa,1747
State Senator,20,RANDY L. BRADEN,Democrat,Tama,4412
State Senator,20,TIM L. KAPUCIAN,Republican,Tama,3605
State Senator,20,OVER VOTES,,Tama,4
State Senator,20,UNDER VOTES,,Tama,396
State Senator,20,SCATTERING,,Tama,8
State Senator,20,TOTAL,,Tama,8425
State Senator,20,RANDY L. BRADEN,Democrat,Total,13916
State Senator,20,TIM L. KAPUCIAN,Republican,Total,15527
State Senator,20,OVER VOTES,,Total,6
State Senator,20,UNDER VOTES,,Total,1244
State Senator,20,SCATTERING,,Total,16
State Senator,20,TOTAL,,Total,30709
State Senator,22,STEVE SODDERS,Democrat,Franklin,9
State Senator,22,JARRET P. HEIL,Republican,Franklin,14
State Senator,22,OVER VOTES,,Franklin,0
State Senator,22,UNDER VOTES,,Franklin,5
State Senator,22,SCATTERING,,Franklin,0
State Senator,22,TOTAL,,Franklin,28
State Senator,22,STEVE SODDERS,Democrat,Hardin,4556
State Senator,22,JARRET P. HEIL,Republican,Hardin,3860
State Senator,22,OVER VOTES,,Hardin,6
State Senator,22,UNDER VOTES,,Hardin,516
State Senator,22,SCATTERING,,Hardin,7
State Senator,22,TOTAL,,Hardin,8945
State Senator,22,STEVE SODDERS,Democrat,Marshall,10272
State Senator,22,JARRET P. HEIL,Republican,Marshall,7990
State Senator,22,OVER VOTES,,Marshall,12
State Senator,22,UNDER VOTES,,Marshall,471
State Senator,22,SCATTERING,,Marshall,17
State Senator,22,TOTAL,,Marshall,18762
State Senator,22,STEVE SODDERS,Democrat,Total,14837
State Senator,22,JARRET P. HEIL,Republican,Total,11864
State Senator,22,OVER VOTES,,Total,18
