office,district,party,reporting_level,jurisdiction,county,county_num,votes
IOWA HOUSE,59,REP,precinct,ENGLISH 2,IOWA,48,349
IOWA HOUSE,59,OTH,precinct,ENGLISH 2,IOWA,48,14
IOWA HOUSE,59,SC,precinct,ENGLISH 2,IOWA,48,0
PRESIDENT,,DEM,precinct,FILLMORE,IOWA,48,115
PRESIDENT,,REP,precinct,FILLMORE,IOWA,48,99
PRESIDENT,,GREEN,precinct,FILLMORE,IOWA,48,5
PRESIDENT,,SC,precinct,FILLMORE,IOWA,48,5
U.S REPRESENTATIVE,2,DEM,precinct,FILLMORE,IOWA,48,96
U.S REPRESENTATIVE,2,REP,precinct,FILLMORE,IOWA,48,127
U.S REPRESENTATIVE,2,SC,precinct,FILLMORE,IOWA,48,0
CONST. QUES,,YES,precinct,FILLMORE,IOWA,48,32
CONST. QUES,,NO,precinct,FILLMORE,IOWA,48,90
IOWA SENATE,30,DEM,precinct,FILLMORE,IOWA,48,86
IOWA SENATE,30,REP,precinct,FILLMORE,IOWA,48,136
IOWA SENATE,30,SC,precinct,FILLMORE,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,FILLMORE,IOWA,48,59
IOWA HOUSE,59,REP,precinct,FILLMORE,IOWA,48,157
IOWA HOUSE,59,OTH,precinct,FILLMORE,IOWA,48,6
IOWA HOUSE,59,SC,precinct,FILLMORE,IOWA,48,0
PRESIDENT,,DEM,precinct,GREENE,IOWA,48,95
PRESIDENT,,REP,precinct,GREENE,IOWA,48,93
PRESIDENT,,GREEN,precinct,GREENE,IOWA,48,14
PRESIDENT,,SC,precinct,GREENE,IOWA,48,1
U.S REPRESENTATIVE,2,DEM,precinct,GREENE,IOWA,48,81
U.S REPRESENTATIVE,2,REP,precinct,GREENE,IOWA,48,117
U.S REPRESENTATIVE,2,SC,precinct,GREENE,IOWA,48,1
CONST. QUES,,YES,precinct,GREENE,IOWA,48,34
CONST. QUES,,NO,precinct,GREENE,IOWA,48,95
IOWA SENATE,30,DEM,precinct,GREENE,IOWA,48,78
IOWA SENATE,30,REP,precinct,GREENE,IOWA,48,118
IOWA SENATE,30,SC,precinct,GREENE,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,GREENE,IOWA,48,74
IOWA HOUSE,59,REP,precinct,GREENE,IOWA,48,113
IOWA HOUSE,59,OTH,precinct,GREENE,IOWA,48,10
IOWA HOUSE,59,SC,precinct,GREENE,IOWA,48,0
PRESIDENT,,DEM,precinct,HARTFORD 1,IOWA,48,69
PRESIDENT,,REP,precinct,HARTFORD 1,IOWA,48,81
PRESIDENT,,GREEN,precinct,HARTFORD 1,IOWA,48,8
PRESIDENT,,SC,precinct,HARTFORD 1,IOWA,48,0
U.S REPRESENTATIVE,2,DEM,precinct,HARTFORD 1,IOWA,48,54
U.S REPRESENTATIVE,2,REP,precinct,HARTFORD 1,IOWA,48,99
U.S REPRESENTATIVE,2,SC,precinct,HARTFORD 1,IOWA,48,1
CONST. QUES,,YES,precinct,HARTFORD 1,IOWA,48,36
CONST. QUES,,NO,precinct,HARTFORD 1,IOWA,48,63
IOWA SENATE,30,DEM,precinct,HARTFORD 1,IOWA,48,54
IOWA SENATE,30,REP,precinct,HARTFORD 1,IOWA,48,93
IOWA SENATE,30,SC,precinct,HARTFORD 1,IOWA,48,1
IOWA HOUSE,59,DEM,precinct,HARTFORD 1,IOWA,48,35
IOWA HOUSE,59,REP,precinct,HARTFORD 1,IOWA,48,102
IOWA HOUSE,59,OTH,precinct,HARTFORD 1,IOWA,48,12
IOWA HOUSE,59,SC,precinct,HARTFORD 1,IOWA,48,0
PRESIDENT,,DEM,precinct,HARTFORD 2,IOWA,48,166
PRESIDENT,,REP,precinct,HARTFORD 2,IOWA,48,230
PRESIDENT,,GREEN,precinct,HARTFORD 2,IOWA,48,15
PRESIDENT,,SC,precinct,HARTFORD 2,IOWA,48,3
U.S REPRESENTATIVE,2,DEM,precinct,HARTFORD 2,IOWA,48,130
U.S REPRESENTATIVE,2,REP,precinct,HARTFORD 2,IOWA,48,278
U.S REPRESENTATIVE,2,SC,precinct,HARTFORD 2,IOWA,48,6
CONST. QUES,,YES,precinct,HARTFORD 2,IOWA,48,74
CONST. QUES,,NO,precinct,HARTFORD 2,IOWA,48,192
IOWA SENATE,30,DEM,precinct,HARTFORD 2,IOWA,48,162
IOWA SENATE,30,REP,precinct,HARTFORD 2,IOWA,48,250
IOWA SENATE,30,SC,precinct,HARTFORD 2,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,HARTFORD 2,IOWA,48,103
IOWA HOUSE,59,REP,precinct,HARTFORD 2,IOWA,48,278
IOWA HOUSE,59,OTH,precinct,HARTFORD 2,IOWA,48,29
IOWA HOUSE,59,SC,precinct,HARTFORD 2,IOWA,48,0
PRESIDENT,,DEM,precinct,HILTON,IOWA,48,99
PRESIDENT,,REP,precinct,HILTON,IOWA,48,213
PRESIDENT,,GREEN,precinct,HILTON,IOWA,48,6
PRESIDENT,,SC,precinct,HILTON,IOWA,48,6
U.S REPRESENTATIVE,2,DEM,precinct,HILTON,IOWA,48,70
U.S REPRESENTATIVE,2,REP,precinct,HILTON,IOWA,48,245
U.S REPRESENTATIVE,2,SC,precinct,HILTON,IOWA,48,4
CONST. QUES,,YES,precinct,HILTON,IOWA,48,61
CONST. QUES,,NO,precinct,HILTON,IOWA,48,156
IOWA SENATE,30,DEM,precinct,HILTON,IOWA,48,88
IOWA SENATE,30,REP,precinct,HILTON,IOWA,48,227
IOWA SENATE,30,SC,precinct,HILTON,IOWA,48,1
IOWA HOUSE,59,DEM,precinct,HILTON,IOWA,48,58
IOWA HOUSE,59,REP,precinct,HILTON,IOWA,48,243
IOWA HOUSE,59,OTH,precinct,HILTON,IOWA,48,19
IOWA HOUSE,59,SC,precinct,HILTON,IOWA,48,0
PRESIDENT,,DEM,precinct,HONEY CREEK,IOWA,48,50
PRESIDENT,,REP,precinct,HONEY CREEK,IOWA,48,78
PRESIDENT,,GREEN,precinct,HONEY CREEK,IOWA,48,4
PRESIDENT,,SC,precinct,HONEY CREEK,IOWA,48,7
U.S REPRESENTATIVE,2,DEM,precinct,HONEY CREEK,IOWA,48,48
U.S REPRESENTATIVE,2,REP,precinct,HONEY CREEK,IOWA,48,88
U.S REPRESENTATIVE,2,SC,precinct,HONEY CREEK,IOWA,48,2
CONST. QUES,,YES,precinct,HONEY CREEK,IOWA,48,18
CONST. QUES,,NO,precinct,HONEY CREEK,IOWA,48,100
IOWA SENATE,30,DEM,precinct,HONEY CREEK,IOWA,48,40
IOWA SENATE,30,REP,precinct,HONEY CREEK,IOWA,48,97
IOWA SENATE,30,SC,precinct,HONEY CREEK,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,HONEY CREEK,IOWA,48,29
IOWA HOUSE,59,REP,precinct,HONEY CREEK,IOWA,48,98
IOWA HOUSE,59,OTH,precinct,HONEY CREEK,IOWA,48,11
IOWA HOUSE,59,SC,precinct,HONEY CREEK,IOWA,48,0
PRESIDENT,,DEM,precinct,IOWA,IOWA,48,106
PRESIDENT,,REP,precinct,IOWA,IOWA,48,146
PRESIDENT,,GREEN,precinct,IOWA,IOWA,48,4
PRESIDENT,,SC,precinct,IOWA,IOWA,48,6
U.S REPRESENTATIVE,2,DEM,precinct,IOWA,IOWA,48,68
U.S REPRESENTATIVE,2,REP,precinct,IOWA,IOWA,48,190
U.S REPRESENTATIVE,2,SC,precinct,IOWA,IOWA,48,2
CONST. QUES,,YES,precinct,IOWA,IOWA,48,48
CONST. QUES,,NO,precinct,IOWA,IOWA,48,126
IOWA SENATE,30,DEM,precinct,IOWA,IOWA,48,95
IOWA SENATE,30,REP,precinct,IOWA,IOWA,48,166
IOWA SENATE,30,SC,precinct,IOWA,IOWA,48,1
IOWA HOUSE,59,DEM,precinct,IOWA,IOWA,48,72
IOWA HOUSE,59,REP,precinct,IOWA,IOWA,48,170
IOWA HOUSE,59,OTH,precinct,IOWA,IOWA,48,11
IOWA HOUSE,59,SC,precinct,IOWA,IOWA,48,0
PRESIDENT,,DEM,precinct,LENOX,IOWA,48,316
PRESIDENT,,REP,precinct,LENOX,IOWA,48,339
PRESIDENT,,GREEN,precinct,LENOX,IOWA,48,16
PRESIDENT,,SC,precinct,LENOX,IOWA,48,8
U.S REPRESENTATIVE,2,DEM,precinct,LENOX,IOWA,48,245
U.S REPRESENTATIVE,2,REP,precinct,LENOX,IOWA,48,416
U.S REPRESENTATIVE,2,SC,precinct,LENOX,IOWA,48,3
CONST. QUES,,YES,precinct,LENOX,IOWA,48,151
CONST. QUES,,NO,precinct,LENOX,IOWA,48,321
IOWA SENATE,30,DEM,precinct,LENOX,IOWA,48,315
IOWA SENATE,30,REP,precinct,LENOX,IOWA,48,360
IOWA SENATE,30,SC,precinct,LENOX,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,LENOX,IOWA,48,181
IOWA HOUSE,59,REP,precinct,LENOX,IOWA,48,414
IOWA HOUSE,59,OTH,precinct,LENOX,IOWA,48,50
IOWA HOUSE,59,SC,precinct,LENOX,IOWA,48,1
PRESIDENT,,DEM,precinct,LINCOLN,IOWA,48,28
PRESIDENT,,REP,precinct,LINCOLN,IOWA,48,64
PRESIDENT,,GREEN,precinct,LINCOLN,IOWA,48,6
PRESIDENT,,SC,precinct,LINCOLN,IOWA,48,1
U.S REPRESENTATIVE,2,DEM,precinct,LINCOLN,IOWA,48,33
U.S REPRESENTATIVE,2,REP,precinct,LINCOLN,IOWA,48,62
U.S REPRESENTATIVE,2,SC,precinct,LINCOLN,IOWA,48,3
CONST. QUES,,YES,precinct,LINCOLN,IOWA,48,12
CONST. QUES,,NO,precinct,LINCOLN,IOWA,48,54
IOWA SENATE,30,DEM,precinct,LINCOLN,IOWA,48,34
IOWA SENATE,30,REP,precinct,LINCOLN,IOWA,48,63
IOWA SENATE,30,SC,precinct,LINCOLN,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,LINCOLN,IOWA,48,29
IOWA HOUSE,59,REP,precinct,LINCOLN,IOWA,48,63
IOWA HOUSE,59,OTH,precinct,LINCOLN,IOWA,48,5
IOWA HOUSE,59,SC,precinct,LINCOLN,IOWA,48,0
PRESIDENT,,DEM,precinct,MARENGO,IOWA,48,497
PRESIDENT,,REP,precinct,MARENGO,IOWA,48,527
PRESIDENT,,GREEN,precinct,MARENGO,IOWA,48,29
PRESIDENT,,SC,precinct,MARENGO,IOWA,48,16
U.S REPRESENTATIVE,2,DEM,precinct,MARENGO,IOWA,48,421
U.S REPRESENTATIVE,2,REP,precinct,MARENGO,IOWA,48,637
U.S REPRESENTATIVE,2,SC,precinct,MARENGO,IOWA,48,7
CONST. QUES,,YES,precinct,MARENGO,IOWA,48,272
CONST. QUES,,NO,precinct,MARENGO,IOWA,48,526
IOWA SENATE,30,DEM,precinct,MARENGO,IOWA,48,485
IOWA SENATE,30,REP,precinct,MARENGO,IOWA,48,566
IOWA SENATE,30,SC,precinct,MARENGO,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,MARENGO,IOWA,48,320
IOWA HOUSE,59,REP,precinct,MARENGO,IOWA,48,671
IOWA HOUSE,59,OTH,precinct,MARENGO,IOWA,48,64
IOWA HOUSE,59,SC,precinct,MARENGO,IOWA,48,0
PRESIDENT,,DEM,precinct,PILOT,IOWA,48,62
PRESIDENT,,REP,precinct,PILOT,IOWA,48,78
PRESIDENT,,GREEN,precinct,PILOT,IOWA,48,5
PRESIDENT,,SC,precinct,PILOT,IOWA,48,1
U.S REPRESENTATIVE,2,DEM,precinct,PILOT,IOWA,48,50
U.S REPRESENTATIVE,2,REP,precinct,PILOT,IOWA,48,94
U.S REPRESENTATIVE,2,SC,precinct,PILOT,IOWA,48,1
CONST. QUES,,YES,precinct,PILOT,IOWA,48,25
CONST. QUES,,NO,precinct,PILOT,IOWA,48,84
IOWA SENATE,30,DEM,precinct,PILOT,IOWA,48,50
IOWA SENATE,30,REP,precinct,PILOT,IOWA,48,94
IOWA SENATE,30,SC,precinct,PILOT,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,PILOT,IOWA,48,44
IOWA HOUSE,59,REP,precinct,PILOT,IOWA,48,95
IOWA HOUSE,59,OTH,precinct,PILOT,IOWA,48,7
IOWA HOUSE,59,SC,precinct,PILOT,IOWA,48,0
PRESIDENT,,DEM,precinct,SUMNER,IOWA,48,57
PRESIDENT,,REP,precinct,SUMNER,IOWA,48,87
PRESIDENT,,GREEN,precinct,SUMNER,IOWA,48,1
PRESIDENT,,SC,precinct,SUMNER,IOWA,48,0
U.S REPRESENTATIVE,2,DEM,precinct,SUMNER,IOWA,48,49
U.S REPRESENTATIVE,2,REP,precinct,SUMNER,IOWA,48,94
U.S REPRESENTATIVE,2,SC,precinct,SUMNER,IOWA,48,0
CONST. QUES,,YES,precinct,SUMNER,IOWA,48,25
CONST. QUES,,NO,precinct,SUMNER,IOWA,48,79
IOWA SENATE,30,DEM,precinct,SUMNER,IOWA,48,39
IOWA SENATE,30,REP,precinct,SUMNER,IOWA,48,105
IOWA SENATE,30,SC,precinct,SUMNER,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,SUMNER,IOWA,48,33
IOWA HOUSE,59,REP,precinct,SUMNER,IOWA,48,101
IOWA HOUSE,59,OTH,precinct,SUMNER,IOWA,48,9
IOWA HOUSE,59,SC,precinct,SUMNER,IOWA,48,0
PRESIDENT,,DEM,precinct,TROY,IOWA,48,66
PRESIDENT,,REP,precinct,TROY,IOWA,48,107
PRESIDENT,,GREEN,precinct,TROY,IOWA,48,2
PRESIDENT,,SC,precinct,TROY,IOWA,48,1
U.S REPRESENTATIVE,2,DEM,precinct,TROY,IOWA,48,38
U.S REPRESENTATIVE,2,REP,precinct,TROY,IOWA,48,134
U.S REPRESENTATIVE,2,SC,precinct,TROY,IOWA,48,2
CONST. QUES,,YES,precinct,TROY,IOWA,48,45
CONST. QUES,,NO,precinct,TROY,IOWA,48,81
IOWA SENATE,30,DEM,precinct,TROY,IOWA,48,48
IOWA SENATE,30,REP,precinct,TROY,IOWA,48,125
IOWA SENATE,30,SC,precinct,TROY,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,TROY,IOWA,48,26
IOWA HOUSE,59,REP,precinct,TROY,IOWA,48,135
IOWA HOUSE,59,OTH,precinct,TROY,IOWA,48,10
IOWA HOUSE,59,SC,precinct,TROY,IOWA,48,0
PRESIDENT,,DEM,precinct,WASHINGTON,IOWA,48,137
PRESIDENT,,REP,precinct,WASHINGTON,IOWA,48,118
PRESIDENT,,GREEN,precinct,WASHINGTON,IOWA,48,6
PRESIDENT,,SC,precinct,WASHINGTON,IOWA,48,8
U.S REPRESENTATIVE,2,DEM,precinct,WASHINGTON,IOWA,48,122
U.S REPRESENTATIVE,2,REP,precinct,WASHINGTON,IOWA,48,139
U.S REPRESENTATIVE,2,SC,precinct,WASHINGTON,IOWA,48,1
CONST. QUES,,YES,precinct,WASHINGTON,IOWA,48,49
CONST. QUES,,NO,precinct,WASHINGTON,IOWA,48,120
IOWA SENATE,30,DEM,precinct,WASHINGTON,IOWA,48,128
IOWA SENATE,30,REP,precinct,WASHINGTON,IOWA,48,137
IOWA SENATE,30,SC,precinct,WASHINGTON,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,WASHINGTON,IOWA,48,81
IOWA HOUSE,59,REP,precinct,WASHINGTON,IOWA,48,156
IOWA HOUSE,59,OTH,precinct,WASHINGTON,IOWA,48,20
IOWA HOUSE,59,SC,precinct,WASHINGTON,IOWA,48,0
PRESIDENT,,DEM,precinct,WILLIAMSBURG,IOWA,48,493
PRESIDENT,,REP,precinct,WILLIAMSBURG,IOWA,48,529
PRESIDENT,,GREEN,precinct,WILLIAMSBURG,IOWA,48,29
PRESIDENT,,SC,precinct,WILLIAMSBURG,IOWA,48,12
U.S REPRESENTATIVE,2,DEM,precinct,WILLIAMSBURG,IOWA,48,417
U.S REPRESENTATIVE,2,REP,precinct,WILLIAMSBURG,IOWA,48,620
U.S REPRESENTATIVE,2,SC,precinct,WILLIAMSBURG,IOWA,48,15
CONST. QUES,,YES,precinct,WILLIAMSBURG,IOWA,48,255
CONST. QUES,,NO,precinct,WILLIAMSBURG,IOWA,48,508
IOWA SENATE,30,DEM,precinct,WILLIAMSBURG,IOWA,48,457
IOWA SENATE,30,REP,precinct,WILLIAMSBURG,IOWA,48,591
IOWA SENATE,30,SC,precinct,WILLIAMSBURG,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,WILLIAMSBURG,IOWA,48,295
IOWA HOUSE,59,REP,precinct,WILLIAMSBURG,IOWA,48,713
IOWA HOUSE,59,OTH,precinct,WILLIAMSBURG,IOWA,48,39
IOWA HOUSE,59,SC,precinct,WILLIAMSBURG,IOWA,48,0
PRESIDENT,,DEM,precinct,YORK,IOWA,48,53
PRESIDENT,,REP,precinct,YORK,IOWA,48,85
PRESIDENT,,GREEN,precinct,YORK,IOWA,48,3
PRESIDENT,,SC,precinct,YORK,IOWA,48,2
U.S REPRESENTATIVE,2,DEM,precinct,YORK,IOWA,48,48
U.S REPRESENTATIVE,2,REP,precinct,YORK,IOWA,48,93
U.S REPRESENTATIVE,2,SC,precinct,YORK,IOWA,48,1
CONST. QUES,,YES,precinct,YORK,IOWA,48,215
CONST. QUES,,NO,precinct,YORK,IOWA,48,711
IOWA SENATE,30,DEM,precinct,YORK,IOWA,48,43
IOWA SENATE,30,REP,precinct,YORK,IOWA,48,99
IOWA SENATE,30,SC,precinct,YORK,IOWA,48,0
IOWA HOUSE,59,DEM,precinct,YORK,IOWA,48,33
IOWA HOUSE,59,REP,precinct,YORK,IOWA,48,103
IOWA HOUSE,59,OTH,precinct,YORK,IOWA,48,6
IOWA HOUSE,59,SC,precinct,YORK,IOWA,48,0
IOWA HOUSE,34,DEM,precinct,ABS & SP BALLOTS HSE 34,JACKSON,49,"1,644"
IOWA HOUSE,34,SC,precinct,ABS & SP BALLOTS HSE 34,JACKSON,49,13
PRESIDENT,,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,JACKSON,49,"1,186"
PRESIDENT,,REP,precinct,ABSENTEE & SPECIAL BALLOTS,JACKSON,49,943
PRESIDENT,,GREEN,precinct,ABSENTEE & SPECIAL BALLOTS,JACKSON,49,61
PRESIDENT,,SC,precinct,ABSENTEE & SPECIAL BALLOTS,JACKSON,49,26
U.S REPRESENTATIVE,2,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,JACKSON,49,954
U.S REPRESENTATIVE,2,REP,precinct,ABSENTEE & SPECIAL BALLOTS,JACKSON,49,"1,106"
U.S REPRESENTATIVE,2,SC,precinct,ABSENTEE & SPECIAL BALLOTS,JACKSON,49,22
CONST. QUES,,YES,precinct,ABSENTEE & SPECIAL BALLOTS,JACKSON,49,379
CONST. QUES,,NO,precinct,ABSENTEE & SPECIAL BALLOTS,JACKSON,49,976
PRESIDENT,,DEM,precinct,PCT 1,JACKSON,49,735
PRESIDENT,,REP,precinct,PCT 1,JACKSON,49,372
PRESIDENT,,GREEN,precinct,PCT 1,JACKSON,49,23
PRESIDENT,,SC,precinct,PCT 1,JACKSON,49,9
U.S REPRESENTATIVE,2,DEM,precinct,PCT 1,JACKSON,49,559
U.S REPRESENTATIVE,2,REP,precinct,PCT 1,JACKSON,49,491
U.S REPRESENTATIVE,2,SC,precinct,PCT 1,JACKSON,49,4
CONST. QUES,,YES,precinct,PCT 1,JACKSON,49,144
CONST. QUES,,NO,precinct,PCT 1,JACKSON,49,320
IOWA HOUSE,34,DEM,precinct,PCT 1,JACKSON,49,811
IOWA HOUSE,34,SC,precinct,PCT 1,JACKSON,49,4
PRESIDENT,,DEM,precinct,PCT 2,JACKSON,49,156
PRESIDENT,,REP,precinct,PCT 2,JACKSON,49,142
PRESIDENT,,GREEN,precinct,PCT 2,JACKSON,49,10
PRESIDENT,,SC,precinct,PCT 2,JACKSON,49,3
U.S REPRESENTATIVE,2,DEM,precinct,PCT 2,JACKSON,49,132
U.S REPRESENTATIVE,2,REP,precinct,PCT 2,JACKSON,49,160
U.S REPRESENTATIVE,2,SC,precinct,PCT 2,JACKSON,49,1
CONST. QUES,,YES,precinct,PCT 2,JACKSON,49,38
CONST. QUES,,NO,precinct,PCT 2,JACKSON,49,119
IOWA HOUSE,34,DEM,precinct,PCT 2,JACKSON,49,198
IOWA HOUSE,34,SC,precinct,PCT 2,JACKSON,49,0
PRESIDENT,,DEM,precinct,PCT 3,JACKSON,49,229
PRESIDENT,,REP,precinct,PCT 3,JACKSON,49,158
PRESIDENT,,GREEN,precinct,PCT 3,JACKSON,49,14
PRESIDENT,,SC,precinct,PCT 3,JACKSON,49,4
U.S REPRESENTATIVE,2,DEM,precinct,PCT 3,JACKSON,49,217
U.S REPRESENTATIVE,2,REP,precinct,PCT 3,JACKSON,49,175
U.S REPRESENTATIVE,2,SC,precinct,PCT 3,JACKSON,49,2
CONST. QUES,,YES,precinct,PCT 3,JACKSON,49,54
CONST. QUES,,NO,precinct,PCT 3,JACKSON,49,132
IOWA HOUSE,34,DEM,precinct,PCT 3,JACKSON,49,303
IOWA HOUSE,34,SC,precinct,PCT 3,JACKSON,49,0
PRESIDENT,,DEM,precinct,PCT 4,JACKSON,49,201
PRESIDENT,,REP,precinct,PCT 4,JACKSON,49,128
PRESIDENT,,GREEN,precinct,PCT 4,JACKSON,49,4
PRESIDENT,,SC,precinct,PCT 4,JACKSON,49,3
U.S REPRESENTATIVE,2,DEM,precinct,PCT 4,JACKSON,49,192
U.S REPRESENTATIVE,2,REP,precinct,PCT 4,JACKSON,49,129
U.S REPRESENTATIVE,2,SC,precinct,PCT 4,JACKSON,49,3
CONST. QUES,,YES,precinct,PCT 4,JACKSON,49,62
CONST. QUES,,NO,precinct,PCT 4,JACKSON,49,123
IOWA HOUSE,34,DEM,precinct,PCT 4,JACKSON,49,245
IOWA HOUSE,34,SC,precinct,PCT 4,JACKSON,49,0
PRESIDENT,,DEM,precinct,PCT 5,JACKSON,49,178
PRESIDENT,,REP,precinct,PCT 5,JACKSON,49,129
PRESIDENT,,GREEN,precinct,PCT 5,JACKSON,49,6
PRESIDENT,,SC,precinct,PCT 5,JACKSON,49,1
U.S REPRESENTATIVE,2,DEM,precinct,PCT 5,JACKSON,49,149
U.S REPRESENTATIVE,2,REP,precinct,PCT 5,JACKSON,49,159
U.S REPRESENTATIVE,2,SC,precinct,PCT 5,JACKSON,49,1
CONST. QUES,,YES,precinct,PCT 5,JACKSON,49,53
CONST. QUES,,NO,precinct,PCT 5,JACKSON,49,103
IOWA HOUSE,34,DEM,precinct,PCT 5,JACKSON,49,224
IOWA HOUSE,34,SC,precinct,PCT 5,JACKSON,49,2
PRESIDENT,,DEM,precinct,PCT 6,JACKSON,49,179
PRESIDENT,,REP,precinct,PCT 6,JACKSON,49,212
PRESIDENT,,GREEN,precinct,PCT 6,JACKSON,49,9
PRESIDENT,,SC,precinct,PCT 6,JACKSON,49,4
U.S REPRESENTATIVE,2,DEM,precinct,PCT 6,JACKSON,49,141
U.S REPRESENTATIVE,2,REP,precinct,PCT 6,JACKSON,49,233
U.S REPRESENTATIVE,2,SC,precinct,PCT 6,JACKSON,49,3
CONST. QUES,,YES,precinct,PCT 6,JACKSON,49,73
CONST. QUES,,NO,precinct,PCT 6,JACKSON,49,150
IOWA HOUSE,34,DEM,precinct,PCT 6,JACKSON,49,270
IOWA HOUSE,34,SC,precinct,PCT 6,JACKSON,49,0
PRESIDENT,,DEM,precinct,PCT 7,JACKSON,49,252
PRESIDENT,,REP,precinct,PCT 7,JACKSON,49,222
PRESIDENT,,GREEN,precinct,PCT 7,JACKSON,49,19
PRESIDENT,,SC,precinct,PCT 7,JACKSON,49,4
U.S REPRESENTATIVE,2,DEM,precinct,PCT 7,JACKSON,49,201
U.S REPRESENTATIVE,2,REP,precinct,PCT 7,JACKSON,49,260
U.S REPRESENTATIVE,2,SC,precinct,PCT 7,JACKSON,49,5
CONST. QUES,,YES,precinct,PCT 7,JACKSON,49,71
CONST. QUES,,NO,precinct,PCT 7,JACKSON,49,197
IOWA HOUSE,34,DEM,precinct,PCT 7,JACKSON,49,385
IOWA HOUSE,34,SC,precinct,PCT 7,JACKSON,49,0
PRESIDENT,,DEM,precinct,PCT 8,JACKSON,49,174
PRESIDENT,,REP,precinct,PCT 8,JACKSON,49,137
PRESIDENT,,GREEN,precinct,PCT 8,JACKSON,49,8
PRESIDENT,,SC,precinct,PCT 8,JACKSON,49,5
U.S REPRESENTATIVE,2,DEM,precinct,PCT 8,JACKSON,49,146
U.S REPRESENTATIVE,2,REP,precinct,PCT 8,JACKSON,49,145
U.S REPRESENTATIVE,2,SC,precinct,PCT 8,JACKSON,49,2
CONST. QUES,,YES,precinct,PCT 8,JACKSON,49,41
CONST. QUES,,NO,precinct,PCT 8,JACKSON,49,105
IOWA HOUSE,34,DEM,precinct,PCT 8,JACKSON,49,243
IOWA HOUSE,34,SC,precinct,PCT 8,JACKSON,49,3
PRESIDENT,,DEM,precinct,PCT 9,JACKSON,49,374
PRESIDENT,,REP,precinct,PCT 9,JACKSON,49,297
PRESIDENT,,GREEN,precinct,PCT 9,JACKSON,49,16
PRESIDENT,,SC,precinct,PCT 9,JACKSON,49,7
U.S REPRESENTATIVE,2,DEM,precinct,PCT 9,JACKSON,49,229
U.S REPRESENTATIVE,2,REP,precinct,PCT 9,JACKSON,49,386
U.S REPRESENTATIVE,2,SC,precinct,PCT 9,JACKSON,49,7
CONST. QUES,,YES,precinct,PCT 9,JACKSON,49,87
CONST. QUES,,NO,precinct,PCT 9,JACKSON,49,239
IOWA HOUSE,34,DEM,precinct,PCT 9,JACKSON,49,502
IOWA HOUSE,34,SC,precinct,PCT 9,JACKSON,49,4
PRESIDENT,,DEM,precinct,PCT 10,JACKSON,49,122
PRESIDENT,,REP,precinct,PCT 10,JACKSON,49,145
PRESIDENT,,GREEN,precinct,PCT 10,JACKSON,49,7
PRESIDENT,,SC,precinct,PCT 10,JACKSON,49,1
U.S REPRESENTATIVE,2,DEM,precinct,PCT 10,JACKSON,49,79
U.S REPRESENTATIVE,2,REP,precinct,PCT 10,JACKSON,49,161
U.S REPRESENTATIVE,2,SC,precinct,PCT 10,JACKSON,49,2
CONST. QUES,,YES,precinct,PCT 10,JACKSON,49,43
CONST. QUES,,NO,precinct,PCT 10,JACKSON,49,106
IOWA HOUSE,34,DEM,precinct,PCT 10,JACKSON,49,191
IOWA HOUSE,34,SC,precinct,PCT 10,JACKSON,49,1
PRESIDENT,,DEM,precinct,PCT 11,JACKSON,49,200
PRESIDENT,,REP,precinct,PCT 11,JACKSON,49,155
PRESIDENT,,GREEN,precinct,PCT 11,JACKSON,49,10
PRESIDENT,,SC,precinct,PCT 11,JACKSON,49,5
U.S REPRESENTATIVE,2,DEM,precinct,PCT 11,JACKSON,49,144
U.S REPRESENTATIVE,2,REP,precinct,PCT 11,JACKSON,49,163
U.S REPRESENTATIVE,2,SC,precinct,PCT 11,JACKSON,49,6
CONST. QUES,,YES,precinct,PCT 11,JACKSON,49,47
CONST. QUES,,NO,precinct,PCT 11,JACKSON,49,84
IOWA HOUSE,34,DEM,precinct,PCT 11,JACKSON,49,203
IOWA HOUSE,34,SC,precinct,PCT 11,JACKSON,49,0
PRESIDENT,,DEM,precinct,PCT 12,JACKSON,49,190
PRESIDENT,,REP,precinct,PCT 12,JACKSON,49,116
PRESIDENT,,GREEN,precinct,PCT 12,JACKSON,49,5
PRESIDENT,,SC,precinct,PCT 12,JACKSON,49,3
U.S REPRESENTATIVE,2,DEM,precinct,PCT 12,JACKSON,49,140
U.S REPRESENTATIVE,2,REP,precinct,PCT 12,JACKSON,49,153
U.S REPRESENTATIVE,2,SC,precinct,PCT 12,JACKSON,49,3
